Price,Close,High,Low,Open,Volume,symbol
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,
Date,,,,,,
2015-01-01,1082.74169921875,1093.4161873319013,1076.10616853509,1087.6461810662975,76848,APOLLOHOSP
2015-01-02,1084.6170654296875,1095.3396854777725,1080.4819640930064,1081.924465873706,172991,APOLLOHOSP
2015-01-05,1088.22314453125,1100.6286813245256,1082.8859592373235,1084.616890660593,137885,APOLLOHOSP
2015-01-06,1055.8153076171875,1092.0701438122492,1048.9393580240242,1086.2521229188894,164585,APOLLOHOSP
2015-01-07,1064.085693359375,1071.2982037074955,1038.3610731177453,1067.4515315218312,208499,APOLLOHOSP
2015-01-08,1083.17431640625,1095.3394354582538,1061.392521011329,1067.4992044019364,228503,APOLLOHOSP
2015-01-09,1081.53955078125,1093.22383625807,1063.6525558912283,1090.8196671225544,148255,APOLLOHOSP
2015-01-12,1075.577392578125,1086.5404298796664,1069.3746817134745,1082.8380320228168,59612,APOLLOHOSP
2015-01-13,1106.0140380859375,1112.8418555233857,1076.106195018075,1076.106195018075,327470,APOLLOHOSP
2015-01-14,1116.0634765625,1133.4696381481513,1107.8411709156803,1110.149196833303,338840,APOLLOHOSP
2015-01-15,1103.8983154296875,1123.756775817735,1096.3011175404474,1117.5059361124606,117612,APOLLOHOSP
2015-01-16,1140.3458251953125,1145.8272851843624,1107.6491170994095,1111.4476582894056,343994,APOLLOHOSP
2015-01-19,1154.2418212890625,1162.6564148623008,1146.4042049397704,1156.8864078406516,417946,APOLLOHOSP
2015-01-20,1164.291259765625,1173.23481803991,1149.6258245401261,1155.0592715609077,194900,APOLLOHOSP
2015-01-21,1177.947021484375,1190.4967170093691,1165.8780425130954,1173.2348253469745,257565,APOLLOHOSP
2015-01-22,1194.102783203125,1200.9307180551323,1177.9468356409302,1177.9468356409302,192743,APOLLOHOSP
2015-01-23,1244.4940185546875,1257.668935118567,1194.4392903742173,1198.2378304404558,241916,APOLLOHOSP
2015-01-27,1297.4339599609375,1314.6478347255477,1227.6169106239383,1235.7429554758914,372173,APOLLOHOSP
2015-01-28,1367.0108642578125,1384.7055763764424,1280.941590707989,1293.4432728995835,473816,APOLLOHOSP
2015-01-29,1307.2430419921875,1362.5389380193683,1301.3287618084548,1356.9132051191675,228610,APOLLOHOSP
2015-01-30,1263.198974609375,1336.8145852769396,1251.7551025992593,1336.6703116071396,294980,APOLLOHOSP
2015-02-02,1297.62646484375,1307.0988695049848,1259.881002460649,1298.2515724123894,202501,APOLLOHOSP
2015-02-03,1247.0426025390625,1304.5022481929734,1237.7144727115115,1302.0980789187513,161039,APOLLOHOSP
