Price,Close,High,Low,Open,Volume,symbol
Ticker,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,
Date,,,,,,
2015-01-01,17477.48828125,17594.0551823159,17345.38017951664,17345.38017951664,10416,BOSCHLTD
2015-01-02,17554.52734375,17732.499287192753,17442.362924604295,17442.362924604295,12616,BOSCHLTD
2015-01-05,17730.794921875,17844.800008108185,17500.759848381836,17500.759848381836,14811,BOSCHLTD
2015-01-06,17239.052734375,17653.48356179693,17150.38174018847,17553.49137288029,21643,BOSCHLTD
2015-01-07,17210.3046875,17320.179237640226,16979.68709950725,17268.970657498856,13903,BOSCHLTD
2015-01-08,17625.546875,17653.486647969905,17262.72989347891,17262.72989347891,16732,BOSCHLTD
2015-01-09,17474.072265625,17720.86094276338,17394.02377899152,17662.554691944788,11213,BOSCHLTD
2015-01-12,18261.025390625,18315.602958670286,17460.329793582037,17725.356667217577,32456,BOSCHLTD
2015-01-13,18330.474609375,18672.26878134148,18157.4876991769,18327.284600623858,37481,BOSCHLTD
2015-01-14,18853.6953125,18867.21687594918,18238.788791347186,18239.23798940623,36893,BOSCHLTD
2015-01-15,19167.10546875,19286.007864307772,18812.417919006668,19135.84057664002,45461,BOSCHLTD
2015-01-16,19263.009765625,19480.82524530259,19001.485200614068,19180.76088301099,17239,BOSCHLTD
2015-01-19,19319.96484375,19476.780603829025,19140.331223717214,19140.331223717214,8870,BOSCHLTD
2015-01-20,19343.05078125,19427.859717185547,19270.640412366374,19364.926373584603,12152,BOSCHLTD
2015-01-21,19440.083984375,19656.911586427243,19046.00208556936,19495.20024796486,36699,BOSCHLTD
2015-01-22,19474.892578125,19629.95539889839,19342.828347294882,19533.827013192113,18159,BOSCHLTD
2015-01-23,19615.806640625,19763.547189405097,19399.068563885437,19669.48581196257,19476,BOSCHLTD
2015-01-27,20712.474609375,21089.397361254963,19446.76972814821,19586.830018534183,62349,BOSCHLTD
2015-01-28,20926.162109375,21137.014979522744,20663.246130609565,20712.522807476224,25647,BOSCHLTD
2015-01-29,21055.890625,21550.727951675377,20865.116543697466,20995.51910249515,26404,BOSCHLTD
2015-01-30,21403.662109375,21551.627267310607,21067.391696962513,21274.022830877282,24924,BOSCHLTD
2015-02-02,22437.0390625,22585.139308922113,21383.5345229564,21403.658946569485,41833,BOSCHLTD
2015-02-03,22037.97265625,23268.28237300661,21921.046041037887,22540.760435554203,47303,BOSCHLTD
2015-02-04,21161.18359375,22280.22553840416,21022.470870913603,22228.118559322407,31880,BOSCHLTD
2015-02-05,21228.60546875,21525.616629386608,20936.402131093186,21202.148404921758,25717,BOSCHLTD
2015-02-06,20698.958984375,21363.861661863943,20447.54315843664,21291.98996577693,26572,BOSCHLTD
2015-02-09,20086.96484375,20887.705856588607,20016.3074059616,20601.02805961754,26755,BOSCHLTD
2015-02-10,20676.453125,20939.098899226217,19764.716105931268,20087.2403369326,47486,BOSCHLTD
2015-02-11,21299.265625,21520.002614061326,20708.031463732852,20788.8871180381,48419,BOSCHLTD
2015-02-12,22784.498046875,23237.109035342848,22032.27014738406,22032.27014738406,187847,BOSCHLTD
2015-02-13,22411.791015625,23896.615059169995,22082.620112876662,23087.879652132982,160312,BOSCHLTD
2015-02-16,23002.625,23246.000873120676,22208.532275276502,22393.422908730667,52493,BOSCHLTD
2015-02-18,24362.4375,24391.45639861881,22145.465938340836,23358.30078689094,100841,BOSCHLTD
2015-02-19,23539.640625,24615.06642968893,23309.11252567675,24435.47668979416,111134,BOSCHLTD
2015-02-20,23860.638671875,24077.01703560412,22909.102030145714,23604.90985455151,51765,BOSCHLTD
2015-02-23,23464.48828125,24077.015443164855,23314.322777108642,24077.015443164855,53236,BOSCHLTD
