Price,Close,High,Low,Open,Volume,symbol
Ticker,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,
Date,,,,,,
2015-01-01,717.9119873046875,725.5712423521381,712.394012071055,714.8647427487582,27945,CUMMINSIND
2015-01-02,757.0731201171875,769.2208802713659,720.5062830038521,722.1122681285121,305699,CUMMINSIND
2015-01-05,772.4328002929688,791.1691749056503,770.04440715856,770.04440715856,226708,CUMMINSIND
2015-01-06,748.8785400390625,770.0444785400643,743.2782266122011,770.0444785400643,91777,CUMMINSIND
2015-01-07,741.26025390625,756.8670435852935,729.6890104641676,749.7019157090239,73140,CUMMINSIND
2015-01-08,735.618896484375,756.7436137904493,730.5538784469861,745.3370938423715,94791,CUMMINSIND
2015-01-09,722.2357177734375,743.6898843390939,720.6297328867189,735.4541159632457,129845,CUMMINSIND
2015-01-12,717.0471801757812,739.5719861504564,714.8646814906416,724.7476033545676,172364,CUMMINSIND
2015-01-13,723.388671875,735.1658604866628,717.170677005034,717.170677005034,222029,CUMMINSIND
2015-01-14,724.0065307617188,736.8955310996034,720.7946105768983,722.6888276500721,74009,CUMMINSIND
2015-01-15,731.1715698242188,737.0189960389453,726.3948338050071,726.3948338050071,143693,CUMMINSIND
2015-01-16,731.6245727539062,750.319779810701,726.9302242927712,731.9951924395613,291702,CUMMINSIND
2015-01-19,735.4541015625,751.1020611702128,732.9833710981243,732.9833710981243,172216,CUMMINSIND
2015-01-20,728.9066772460938,743.360440834953,725.9829894972358,735.4541232229514,238241,CUMMINSIND
2015-01-21,734.9600830078125,738.9132422752308,726.5184193539187,726.5184193539187,78036,CUMMINSIND
2015-01-22,728.4948120117188,744.5133900253145,726.4358701145248,732.2009074266678,142801,CUMMINSIND
2015-01-23,727.21826171875,739.1601244536558,724.7475314977349,731.3361454204417,147616,CUMMINSIND
2015-01-27,738.8307495117188,751.1020643095978,726.5183161931628,727.6301247999229,391592,CUMMINSIND
2015-01-28,747.354736328125,749.4548469998072,735.4540421657448,741.2190794503588,283836,CUMMINSIND
2015-01-29,734.630615234375,753.325821437827,732.983461388558,753.325821437827,131943,CUMMINSIND
2015-01-30,734.3836059570312,749.0432662042451,732.9835150321915,737.1013999481027,177825,CUMMINSIND
2015-02-02,725.9830322265625,737.1013202980981,725.1594553323747,736.6071942684432,241537,CUMMINSIND
2015-02-03,743.9369506835938,757.4847997762382,717.8707738170582,730.5126582239992,477429,CUMMINSIND
2015-02-04,752.9140625,760.9851066075596,743.4840963094962,743.9782223757586,229686,CUMMINSIND
2015-02-05,743.4841918945312,755.2201650149932,739.5722008543772,754.3965879539081,108030,CUMMINSIND
2015-02-06,740.8897094726562,753.6139817782005,737.1012760934459,742.0839059510404,176826,CUMMINSIND
2015-02-09,733.2304077148438,740.3543670710482,732.9833447307217,740.3543670710482,159231,CUMMINSIND
2015-02-10,739.1602172851562,749.331371198881,728.9478443155299,740.1485195511107,118791,CUMMINSIND
2015-02-11,740.6839599609375,746.3254926102085,733.8071120702818,742.0017133303331,72165,CUMMINSIND
2015-02-12,743.1546020507812,749.4549854972591,736.3600925668775,743.4017153366393,314903,CUMMINSIND
2015-02-13,749.2490844726562,756.4553823447483,742.0427866005642,746.1606710989025,1023122,CUMMINSIND
2015-02-16,740.5191650390625,748.6313771265914,737.1013009112203,746.9842233815383,120685,CUMMINSIND
2015-02-18,748.0548095703125,753.6139530608556,739.6131472328212,742.8662856992336,81049,CUMMINSIND
2015-02-19,748.6314697265625,753.5729315729425,739.5721230081992,746.1607388033725,269943,CUMMINSIND
2015-02-20,747.0253295898438,756.8670824454733,744.5134303925004,751.0608760340037,65836,CUMMINSIND
2015-02-23,740.4368286132812,752.6669761799433,737.3072463337663,747.1078319043187,204763,CUMMINSIND
2015-02-24,741.1780395507812,749.4549773238409,737.018986268512,742.8663621385764,629178,CUMMINSIND
2015-02-25,737.2660522460938,746.9842496299675,734.6305961079725,742.2075136548917,186423,CUMMINSIND
2015-02-26,721.6181030273438,739.5720697221814,720.1356746336684,739.5720697221814,303578,CUMMINSIND
2015-02-27,732.736328125,736.9777187111113,719.2296477771928,723.9240458411954,328940,CUMMINSIND
2015-03-02,752.54345703125,759.3379670400137,734.6306579172367,735.4542348879959,414567,CUMMINSIND
2015-03-03,752.9140625,763.4558374731686,748.1373262132522,753.5729140107327,422640,CUMMINSIND
2015-03-04,757.48486328125,761.3556848132569,751.1021422261484,751.1844798103238,242531,CUMMINSIND
2015-03-05,747.0665283203125,758.4730976667025,743.4016516114136,757.6906896185595,107544,CUMMINSIND
2015-03-09,739.0368041992188,750.9786707534486,737.1014183472903,749.4550734033901,211259,CUMMINSIND
2015-03-10,738.9132080078125,747.396040061974,737.3072229922668,742.0427901882518,242918,CUMMINSIND
2015-03-11,727.8773193359375,743.1134933500847,723.1005829416888,740.3956993901802,66561,CUMMINSIND
2015-03-12,748.1373901367188,753.5729783986349,728.7421109707697,728.8244988336183,267467,CUMMINSIND
2015-03-13,725.777099609375,752.3374530418884,720.6297442929965,750.2785109153369,647290,CUMMINSIND
2015-03-16,724.8711547851562,741.2191344776122,720.053200250768,727.8771800035872,98314,CUMMINSIND
2015-03-17,724.5828247070312,732.1597409661828,717.335359259331,728.8654339202158,129284,CUMMINSIND
2015-03-18,711.5292358398438,728.8655186306819,708.7290544184735,724.7476343446328,142567,CUMMINSIND
2015-03-19,717.994384765625,727.4243510253843,715.6883793275506,715.6883793275506,587870,CUMMINSIND
2015-03-20,720.6709594726562,724.74767519908,712.3940216445502,718.1590599699974,145229,CUMMINSIND
2015-03-23,716.2236938476562,723.9241179993804,713.4235121922222,723.9241179993804,661847,CUMMINSIND
2015-03-24,705.681884765625,723.4300081327561,693.0399987748092,717.3355186367901,167682,CUMMINSIND
2015-03-25,712.8881225585938,716.5118809137505,701.6874971707074,712.5175531787322,100476,CUMMINSIND
2015-03-26,686.8630981445312,716.5530337603,682.8687704983894,711.3233408297253,1192257,CUMMINSIND
2015-03-27,706.1759643554688,715.482372499735,690.2397225026723,697.5695764112525,111618,CUMMINSIND
2015-03-30,708.5642700195312,718.5707481086444,700.0402703637224,704.1581543070383,260353,CUMMINSIND
2015-03-31,725.2830810546875,731.3363516966684,705.9290221978499,714.8648122440408,127601,CUMMINSIND
2015-04-01,732.901123046875,742.0016379821941,720.4239125708276,723.9241144895769,358652,CUMMINSIND
2015-04-06,717.7060546875,740.3955868105231,714.6999790835816,740.3955868105231,78633,CUMMINSIND
2015-04-07,718.1177368164062,723.1003659589379,711.570291786472,722.2767892323333,225536,CUMMINSIND
2015-04-08,731.2127685546875,739.5720946309272,719.5180161807003,724.5829842186081,237076,CUMMINSIND
