Price,Close,High,Low,Open,Volume,symbol
Ticker,ENRIN.NS,ENRIN.NS,ENRIN.NS,ENRIN.NS,ENRIN.NS,
Date,,,,,,
2025-06-19,2730.59130859375,2977.1931562071527,2693.6509508540903,2835.4220535306213,4080416,ENRIN
2025-06-20,2636.543212890625,2864.375317298215,2605.792812181367,2630.7525134474718,10030400,ENRIN
2025-06-23,2611.58349609375,2716.6138696475005,2504.755975310111,2504.755975310111,3288612,ENRIN
2025-06-24,2702.037353515625,2739.5768421459047,2522.1278734914663,2606.791229899037,2439573,ENRIN
2025-06-25,2797.583251953125,2831.3285730400225,2665.69609307054,2665.69609307054,1348714,ENRIN
2025-06-26,2823.042236328125,2884.3431670242667,2748.5623879604727,2748.5623879604727,3328114,ENRIN
2025-06-27,2896.5234375,2929.2706151440066,2835.42213599488,2855.389897515971,663663,ENRIN
2025-06-30,2971.10302734375,2989.1739493190985,2887.53799274046,2920.1852346198775,601274,ENRIN
2025-07-01,2966.710205078125,3019.1255797261483,2911.2996661645,2995.164265601338,536577,ENRIN
2025-07-02,2946.343017578125,2966.7100359241035,2872.0628017782196,2955.228573560608,568584,ENRIN
2025-07-03,2917.58935546875,2966.9096260881606,2876.355881551656,2943.247878797043,650654,ENRIN
2025-07-04,2889.3349609375,2973.9983146929626,2875.3575285072566,2930.268870197499,654426,ENRIN
2025-07-07,2995.26416015625,3063.7534358266994,2887.6378769631574,2903.312520985221,1958335,ENRIN
2025-07-08,3041.988525390625,3101.4925521041414,3017.228696151314,3025.1158644376465,1519432,ENRIN
2025-07-09,3121.460205078125,3154.9062043968897,3050.6745905859,3063.753327653348,1519442,ENRIN
2025-07-10,3135.238037109375,3224.7933963005653,3094.803321149569,3139.930412187393,821004,ENRIN
2025-07-11,3171.579345703125,3191.846672353316,3094.0046411082035,3139.630927337374,1046411,ENRIN
2025-07-14,3071.1416015625,3177.869187423897,3038.5940533850553,3171.579293911436,894477,ENRIN
2025-07-15,3048.777587890625,3068.146462616074,2961.3189395717395,3067.048138244821,884299,ENRIN
2025-07-16,3081.3251953125,3124.9547058751405,3000.1561952571237,3046.9804989421673,767166,ENRIN
2025-07-17,3049.27685546875,3178.8676782891257,3025.515170179356,3124.95472143372,758679,ENRIN
2025-07-18,3032.603759765625,3077.830788043399,2985.1803264853393,3055.466749048233,505495,ENRIN
2025-07-21,3052.970703125,3083.0222807568575,2990.771322963613,3029.1093263653843,364458,ENRIN
2025-07-22,3037.49560546875,3126.851332991626,3025.115691556589,3059.060884135112,401792,ENRIN
2025-07-23,3005.7470703125,3069.144709578317,2971.202747323949,3040.0915206994036,461601,ENRIN
2025-07-24,3000.45556640625,3025.1157017602936,2975.196300741147,3007.1447173934007,485288,ENRIN
2025-07-25,2972.700439453125,3010.6391856157506,2953.2318723433564,2998.1593349043605,343613,ENRIN
2025-07-28,3012.33642578125,3045.0836031149856,2925.2770351235763,2972.0016453896433,753781,ENRIN
2025-07-29,3029.608642578125,3040.0917174659385,2957.2255064479837,2986.1787609000403,623985,ENRIN
2025-07-30,3221.6982421875,3269.720804013987,3032.0045161531007,3032.0045161531007,1303514,ENRIN
2025-07-31,3232.6806640625,3271.817671763839,3174.8740917770924,3187.85313680637,566282,ENRIN
2025-08-01,3163.692138671875,3242.6644881042807,3139.9304540539415,3226.7902154220474,439298,ENRIN
2025-08-04,3228.3876953125,3244.5615329697453,3111.5762934866093,3164.8901178467727,861099,ENRIN
2025-08-05,3254.64501953125,3413.488651530981,3234.8771316683333,3364.5676383911687,1643505,ENRIN
2025-08-06,3156.703369140625,3283.6982797035503,3135.936849057115,3269.7208470748333,628232,ENRIN
2025-08-07,3170.181640625,3193.843388785309,3112.4747622814007,3156.703401878954,576167,ENRIN
2025-08-08,3078.9287109375,3204.326343485976,3069.743589922132,3194.8416573158192,569835,ENRIN
2025-08-11,3107.582763671875,3159.798264054549,3035.8984524309,3085.019096085169,1120311,ENRIN
2025-08-12,3142.027099609375,3212.9126504815586,3110.9771340524458,3118.964238376072,676128,ENRIN
2025-08-13,3157.30224609375,3197.9368343953033,3140.4295856850704,3184.8578535480447,435126,ENRIN
2025-08-14,3168.184814453125,3201.8304426344166,3150.7130237621045,3168.7837010285693,291868,ENRIN
2025-08-18,3162.9931640625,3252.748149005536,3137.434333410036,3145.9206315274537,1013198,ENRIN
2025-08-19,3190.049560546875,3203.9273011770833,3150.9127963630135,3169.8821699786336,316378,ENRIN
2025-08-20,3289.688720703125,3325.3311263783207,3184.857972395438,3199.8337935822506,824347,ENRIN
