Price,Close,High,Low,Open,Volume,symbol
Ticker,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,
Date,,,,,,
2015-01-01,492.4530944824219,493.23466555617193,487.74929839887915,491.2228585606657,266598,GRASIM
2015-01-02,505.942138671875,507.4329172464373,491.9465101854111,492.82935566921776,291180,GRASIM
2015-01-05,507.845458984375,513.4538556489049,503.23572378136214,506.56455715337387,641685,GRASIM
2015-01-06,488.4801940917969,504.972476968078,483.6822798153621,504.683023168495,812394,GRASIM
2015-01-07,494.6241760253906,497.01222747463305,487.74936102090106,492.09134040538294,843430,GRASIM
2015-01-08,495.702392578125,501.0647308697403,491.845260000036,496.433297847583,266021,GRASIM
2015-01-09,492.7498474121094,501.31077624293914,491.36761381312346,496.43328469502654,329649,GRASIM
2015-01-12,497.236572265625,499.03850252484796,491.0781786225789,493.4662872431739,184597,GRASIM
2015-01-13,513.2728271484375,519.5903727345294,498.8936282991117,501.788280272578,611309,GRASIM
2015-01-14,516.232666015625,521.0233668575411,512.4117155538576,513.0775279938556,347284,GRASIM
2015-01-15,530.9013061523438,534.4979527162262,516.7030709600251,521.0377788937913,697076,GRASIM
2015-01-16,526.320556640625,535.1347569391581,523.2232979169811,530.901323345744,509549,GRASIM
2015-01-19,528.6363525390625,537.6821282010789,527.2324213177188,528.6507794308693,472032,GRASIM
2015-01-20,534.2881469726562,536.5242579628466,530.590225438839,533.6223917125388,441416,GRASIM
2015-01-21,547.5601196289062,551.4317361938622,528.8534223938475,535.7354502657023,758001,GRASIM
2015-01-22,551.3449096679688,553.5738072012566,544.238520465826,552.8790836616772,481759,GRASIM
2015-01-23,548.9783935546875,556.0124179527708,543.7752673243243,555.7736300393984,601141,GRASIM
2015-01-27,557.2210083007812,559.2472421556964,546.3660327755995,549.7961977136126,839250,GRASIM
2015-01-28,563.690673828125,566.3392682738171,554.3481725528776,554.3481725528776,786672,GRASIM
2015-01-29,569.0745849609375,571.6942677929595,557.4597932705457,563.5892179172915,537695,GRASIM
2015-01-30,562.1491088867188,575.3125573000568,558.8564004850977,568.7995611892958,727295,GRASIM
2015-02-02,551.1857299804688,561.3314994646939,549.9844621716012,554.0514146509482,397704,GRASIM
2015-02-03,562.713623046875,564.7471277202399,549.9844104876411,553.1540328480253,1131714,GRASIM
2015-02-04,564.0451049804688,569.8705911875129,560.8754258525627,563.2925022673334,587771,GRASIM
2015-02-05,562.6484985351562,568.1265949372947,557.2210107487217,561.5919005584207,1163469,GRASIM
2015-02-06,550.7080688476562,567.0628972876582,547.4299011636263,555.8026509198196,605062,GRASIM
2015-02-09,536.7413940429688,550.1147231977633,533.5066212623536,549.2607885253449,265445,GRASIM
2015-02-10,551.9093627929688,554.2034104607004,528.5495329882997,533.9190850047677,480858,GRASIM
2015-02-11,556.374267578125,562.6773872150864,549.2823634621217,551.9092596604701,764819,GRASIM
2015-02-12,553.9284057617188,569.0168177643651,551.084418574773,565.4708935260851,730328,GRASIM
2015-02-13,558.6610717773438,563.5747447634807,555.7736899244057,555.7736899244057,392409,GRASIM
2015-02-16,557.98095703125,564.4288053224413,555.1948490381478,558.9651345372998,259994,GRASIM
2015-02-18,559.7393798828125,562.2866421221538,551.4317234496407,558.0893901089091,570707,GRASIM
2015-02-19,547.9797973632812,564.4576538329179,544.3542968177792,559.8262211549464,802206,GRASIM
2015-02-20,544.2962646484375,552.1769523367828,542.892391026022,548.2330303953341,275256,GRASIM
2015-02-23,534.8887329101562,549.8902365755945,528.6145243338482,545.787103166169,442881,GRASIM
2015-02-24,532.8770141601562,536.5966333641405,528.8534569774434,533.9190708730622,298075,GRASIM
2015-02-25,530.923095703125,538.4057858625893,528.2744444845025,534.215747301263,278536,GRASIM
2015-02-26,520.7338256835938,537.5083479811708,518.2372295515046,531.8999519279713,791021,GRASIM
2015-02-27,542.060302734375,546.0766464650592,520.2563452034657,525.785108129891,788973,GRASIM
2015-03-02,577.0928344726562,580.023668928773,547.8206716393531,549.984419115013,1010770,GRASIM
2015-03-03,578.6124877929688,582.5274993497624,567.3522996952936,576.0362573322578,753348,GRASIM
2015-03-04,561.96826171875,580.0742955619266,558.9216115898001,578.3519996324432,465680,GRASIM
2015-03-05,547.7700805664062,565.9050863926477,543.8550682280687,562.431468294693,579547,GRASIM
2015-03-09,537.0235595703125,551.1422189835879,535.511140488096,546.3660592904969,416679,GRASIM
2015-03-10,535.3446044921875,542.516142624943,531.8927421513304,536.9584123954369,396550,GRASIM
2015-03-11,535.65576171875,538.5504137949284,526.8559896373984,535.0767969537804,250007,GRASIM
2015-03-12,541.4668579101562,546.9450116785359,537.3419693945951,538.405780839213,303798,GRASIM
2015-03-13,531.0967407226562,548.1028393347145,523.3535649299441,542.2049888606755,838350,GRASIM
2015-03-16,534.4039306640625,538.36960820215,528.7086864433829,534.0637537342037,183722,GRASIM
2015-03-17,536.2708740234375,539.418798273028,531.1039295776095,536.2563898850177,310693,GRASIM
2015-03-18,531.0678100585938,537.247900673389,528.5639430541594,537.247900673389,309559,GRASIM
2015-03-19,522.7745971679688,539.6793621005529,520.3141255263766,532.3269154537478,343525,GRASIM
2015-03-20,523.27392578125,526.8270625340707,513.8011271732731,522.7745951103602,350031,GRASIM
2015-03-23,525.3436279296875,533.3401332238753,518.114266859659,527.5436143659556,313234,GRASIM
2015-03-24,520.0827026367188,529.7218713163215,518.1432586864013,522.5069932622212,377892,GRASIM
2015-03-25,516.7538452148438,526.3713158676981,513.9532532410177,520.3142535519768,601225,GRASIM
2015-03-26,513.67822265625,521.1826114320297,510.7112061879816,515.2485784954929,1163113,GRASIM
2015-03-27,516.5437622070312,520.8929534575477,512.353724712342,512.6721467231013,361036,GRASIM
2015-03-30,525.5390625,530.8724900186646,514.5249315497005,517.4267979322648,524111,GRASIM
2015-03-31,524.272705078125,528.9910437224266,520.0682386649315,525.6694230841799,552354,GRASIM
2015-04-01,534.6499633789062,539.2307877877481,519.5905210253295,526.8271530243254,266456,GRASIM
2015-04-06,535.236083984375,539.8530896238137,532.211188737546,535.6558377923079,190871,GRASIM
2015-04-07,545.10693359375,547.8134070173741,531.813239933125,535.6992834978458,431870,GRASIM
2015-04-08,550.0205688476562,551.4317134018311,543.4713902374109,543.4713902374109,286760,GRASIM
2015-04-09,545.4108276367188,553.3566093217514,544.332532071862,551.4317071833295,213696,GRASIM
2015-04-10,548.9278564453125,550.5560913838983,543.0372194856114,545.6424182871757,172200,GRASIM
2015-04-13,547.1619873046875,549.9842758419954,542.320678729138,548.6888901725227,184902,GRASIM
2015-04-15,550.6500854492188,553.8776439024372,547.2561025246113,547.813312493662,276754,GRASIM
2015-04-16,539.8531494140625,553.638903355501,534.2302683011674,550.1291611570308,636409,GRASIM
2015-04-17,527.8692016601562,542.168768691319,525.3797616307576,539.8530810878523,462939,GRASIM
2015-04-20,522.7745971679688,533.7597574716585,518.309589390244,526.1034301539619,439569,GRASIM
2015-04-21,525.9733276367188,531.0244577688172,516.1170115530443,522.4852254414508,489419,GRASIM
2015-04-22,531.1690063476562,536.9583678244649,524.6560677167771,525.9731510308484,364386,GRASIM
2015-04-23,526.7259521484375,536.2348781916526,520.4590125040594,532.6021061678097,288361,GRASIM
2015-04-24,530.1632690429688,534.7296094118432,521.0596138382683,527.0153440721439,165090,GRASIM
2015-04-27,523.0206298828125,530.87962111826,518.9608915055339,529.7362328132806,504150,GRASIM
2015-04-28,524.468017578125,527.3916386876926,514.6841230844306,521.9062710090442,501636,GRASIM
