Price,Close,High,Low,Open,Volume,symbol
Ticker,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,
Date,,,,,,
2017-11-17,336.698486328125,360.5389995778372,299.9606310850841,302.89184246376567,168836552,HDFCLIFE
2017-11-20,347.2019958496094,350.67058407471114,336.11224010355795,336.79620135647974,14650240,HDFCLIFE
2017-11-21,376.4652099609375,409.29478108266187,344.4173130431959,348.2278816069179,43078194,HDFCLIFE
2017-11-22,386.13824462890625,398.64473416580216,378.0285421951336,379.10332562826284,15227642,HDFCLIFE
2017-11-23,366.2548522949219,383.01160400664816,362.5908382259807,381.05746316987955,12300150,HDFCLIFE
2017-11-24,362.20001220703125,374.21796629944043,357.7054823662411,367.4273150360683,9463228,HDFCLIFE
2017-11-27,371.6287536621094,375.6835900883144,362.4931389408704,362.4931389408704,3832223,HDFCLIFE
2017-11-28,373.4363708496094,377.5400492108089,369.43037568776526,374.2180153514112,2409447,HDFCLIFE
2017-11-29,369.13720703125,375.87901704435734,367.4762051436775,373.63173710071356,1657909,HDFCLIFE
2017-11-30,362.981689453125,371.09136264702033,362.29772817843855,371.09136264702033,2536960,HDFCLIFE
2017-12-01,364.2030029296875,370.84706992924333,359.56191838531186,365.1312317656919,1904781,HDFCLIFE
2017-12-04,354.48114013671875,366.30369830527945,353.6994957197161,365.4731824760746,1323453,HDFCLIFE
2017-12-05,354.0414123535156,357.5099998266488,348.9606351076973,352.7223615475995,1806017,HDFCLIFE
2017-12-06,359.9039001464844,363.1770920623031,350.3285920074054,352.6247134897155,3331373,HDFCLIFE
2017-12-07,379.396484375,380.9598032257233,361.5649467558553,361.5649467558553,3350792,HDFCLIFE
2017-12-08,380.37353515625,386.72449343018263,376.7583921833221,381.05749643595755,2494845,HDFCLIFE
2017-12-11,372.0683898925781,383.2558577042542,370.35851672245076,378.1262381938722,1029719,HDFCLIFE
2017-12-12,374.9996337890625,378.12627121460764,368.4044081283426,372.16613539468847,2564559,HDFCLIFE
2017-12-13,372.0683898925781,380.3246465554645,369.82113993896803,377.5888614103895,747787,HDFCLIFE
2017-12-14,375.4881286621094,377.1491602067286,368.3555269376598,374.07139452611875,1261422,HDFCLIFE
2017-12-15,373.9781188964844,383.1461780213423,372.7034282903414,380.44969180366166,1698848,HDFCLIFE
