Price,Close,High,Low,Open,Volume,symbol
Ticker,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS,
Date,,,,,,
2015-01-01,63.199283599853516,64.08096187167386,62.84286253936872,64.06220166326692,225885,HINDZINC
2015-01-02,64.36233520507812,64.90634679335508,63.2930665084425,63.2930665084425,649742,HINDZINC
2015-01-05,63.49941635131836,64.69999501329401,62.84284926939927,64.53116462290551,592629,HINDZINC
2015-01-06,63.12424087524414,65.05642188699878,62.730299445473555,63.72453312297182,1693131,HINDZINC
2015-01-07,61.58598327636719,63.4243743400977,61.15452724523584,63.255543968125004,774681,HINDZINC
2015-01-08,61.84861373901367,62.33634464526713,60.85438027476716,62.0924791921404,1855173,HINDZINC
2015-01-09,61.06074142456055,62.65526155392695,60.76059531407057,62.65526155392695,994079,HINDZINC
2015-01-12,59.86016082763672,61.060739507084214,59.691330434791254,60.441692825047284,1086665,HINDZINC
2015-01-13,59.710086822509766,60.40417434559782,59.46622132780904,60.17906333140416,715359,HINDZINC
2015-01-14,57.57154083251953,59.72883223930036,57.12132464041412,59.69131756276377,2383600,HINDZINC
2015-01-15,57.74037551879883,58.43446292208301,57.23388441150299,57.96548649413691,3260692,HINDZINC
2015-01-16,58.88469314575195,60.141552561346366,57.68411434977578,57.815430070740426,1748721,HINDZINC
2015-01-19,60.160301208496094,60.704312744743476,59.2973833967881,59.65380435330809,1327323,HINDZINC
2015-01-20,60.74184036254883,62.03622021819184,60.59177015672916,61.90490449449109,2802867,HINDZINC
2015-01-21,61.4359130859375,61.71729894739981,59.728837714770826,60.77934607585878,1563770,HINDZINC
2015-01-22,61.97993469238281,62.18628550266303,60.98570677668391,61.904899595411166,1393089,HINDZINC
2015-01-23,62.29884338378906,62.580229301760276,61.71731134168632,62.28008317762875,1062976,HINDZINC
2015-01-27,63.66826248168945,63.78081801137782,61.529730316858604,62.65527416411821,1805874,HINDZINC
2015-01-28,63.94962692260742,64.38108868707815,63.161749929556294,63.21802481305633,2031714,HINDZINC
2015-01-29,65.54415130615234,65.76926230512444,63.33058462377217,63.74328048880702,1577204,HINDZINC
2015-01-30,65.6567153930664,66.76349887901584,64.53117170061384,65.6567153930664,1505560,HINDZINC
2015-02-02,65.20648956298828,66.0881618920972,63.930870129130284,65.99436659805517,842992,HINDZINC
2015-02-03,65.11267852783203,65.84428049953169,64.75625764159979,64.90632778586314,1304414,HINDZINC
2015-02-04,66.05066680908203,66.5946785309925,65.131473799673,65.131473799673,977331,HINDZINC
2015-02-05,65.2440185546875,66.33204763908213,63.91212966703614,66.10693659408692,843100,HINDZINC
2015-02-06,63.72452926635742,64.68123674885734,62.69278096382465,64.68123674885734,870314,HINDZINC
2015-02-09,65.28153228759766,66.50087125273956,62.1112521231909,62.1112521231909,843965,HINDZINC
2015-02-10,66.78227233886719,67.30752387632657,63.78082189667091,64.90636581249451,1100880,HINDZINC
2015-02-11,68.54561614990234,69.22094357363184,67.36379745198457,67.53262787671399,1318040,HINDZINC
2015-02-12,65.525390625,69.033336938712,64.73751358395533,69.033336938712,1319398,HINDZINC
2015-02-13,66.03189086914062,66.66969776098267,65.67546987588867,66.03189086914062,602865,HINDZINC
2015-02-16,68.03910827636719,68.52683922330341,65.78802122966933,66.16320240411896,683913,HINDZINC
2015-02-18,66.7447280883789,68.001587302234,66.08816103856424,67.4763359523064,571603,HINDZINC
2015-02-19,69.55858612060547,71.47201236357004,65.6567042709961,67.15742894004744,1791313,HINDZINC
2015-02-20,68.02035522460938,70.15888699886388,67.5326185015802,70.15888699886388,956957,HINDZINC
2015-02-23,65.97561645507812,68.54560424584592,64.9063477428013,68.33925344042976,750637,HINDZINC
2015-02-24,65.56291198730469,67.28874772582176,64.77502920997938,65.65670728342386,985157,HINDZINC
2015-02-25,64.831298828125,66.7634793105871,64.23100674483855,65.41283071040696,1189397,HINDZINC
2015-02-26,66.18197631835938,66.91358440323259,64.92512244974462,64.92512244974462,980090,HINDZINC
2015-02-27,66.53838348388672,67.40129560404468,65.84429602221837,66.40706778309203,560174,HINDZINC
2015-03-02,66.06941986083984,67.269998705809,65.37533226423612,67.269998705809,328398,HINDZINC
2015-03-03,67.23246002197266,67.57012648727292,65.60042547652287,66.4633375299559,429124,HINDZINC
2015-03-04,65.67546844482422,68.47056716495192,64.62495996801626,67.66392989649454,1374445,HINDZINC
2015-03-05,64.49363708496094,66.36954282594073,64.19349674625218,65.28151978609645,1202613,HINDZINC
2015-03-09,63.79955291748047,64.68122514660764,62.80531947849478,64.15597384945995,1053892,HINDZINC
2015-03-10,63.89335250854492,64.53115933374197,63.59320643644921,63.96838759536631,383799,HINDZINC
2015-03-11,63.72452926635742,64.15598535749226,63.368102545633825,63.89335966180972,635471,HINDZINC
2015-03-12,63.89335250854492,64.15597817482487,62.48642316260578,63.93086718955053,970237,HINDZINC
2015-03-13,63.2742919921875,64.7187415574515,62.636485249336815,64.21224476838245,648164,HINDZINC
2015-03-16,63.12424087524414,63.49942209887115,61.829866798693196,63.030445569337395,625526,HINDZINC
2015-03-17,64.1935043334961,64.53116511685771,62.65525915415835,62.65525915415835,717231,HINDZINC
