Price,Close,High,Low,Open,Volume,symbol
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,
Date,,,,,,
2015-01-01,124.95897674560547,125.59439441969137,124.21434594865077,125.4752507652592,2509980,KOTAKBANK
2015-01-02,126.24469757080078,126.98436685108531,124.92918626083328,125.19725000096363,6318150,KOTAKBANK
2015-01-05,125.73834991455078,126.96947825541102,125.29653595566717,126.29930752490422,3051150,KOTAKBANK
2015-01-06,124.2391586303711,125.32135166683494,122.47190289114813,124.60154346852566,11345430,KOTAKBANK
2015-01-07,126.2397232055664,129.46149468502992,123.85690350691131,123.85690350691131,17858870,KOTAKBANK
2015-01-08,133.10525512695312,134.33141458937237,127.71908869933293,129.06935330916482,34548830,KOTAKBANK
2015-01-09,135.12069702148438,136.06886199383072,133.0952928990169,134.4703873788599,32187050,KOTAKBANK
2015-01-12,136.1185302734375,137.70706705344827,133.8647765788643,135.12072005114783,8434210,KOTAKBANK
2015-01-13,138.2977752685547,139.97567886105438,135.79085798479883,136.2177723121187,9608210,KOTAKBANK
2015-01-14,138.12403869628906,138.74953339055745,136.73406731963908,138.4119710775927,7592900,KOTAKBANK
2015-01-15,139.03744506835938,143.36623237500513,138.20843132847176,142.77053687290137,19854090,KOTAKBANK
2015-01-16,138.5360565185547,138.99772389416842,137.0120421242517,137.70702771381264,13403000,KOTAKBANK
2015-01-19,137.9502716064453,138.89842123457225,137.210594912084,138.32258690476837,8775380,KOTAKBANK
2015-01-20,138.5708465576172,139.13675813526896,137.2751809792832,138.20348503047282,18918630,KOTAKBANK
2015-01-21,137.8212127685547,140.88411847933304,137.51343451167128,138.6005965155336,13420650,KOTAKBANK
2015-01-22,137.77159118652344,138.84883041885894,136.03411930501957,137.6723010191879,20000080,KOTAKBANK
2015-01-23,137.5382537841797,138.57577074534987,137.21061445703904,138.2133934990742,7774060,KOTAKBANK
2015-01-27,137.84109497070312,138.30276242683908,135.2547331066077,137.3496283452353,8433660,KOTAKBANK
