Price,Close,High,Low,Open,Volume,symbol
Ticker,RECLTD.NS,RECLTD.NS,RECLTD.NS,RECLTD.NS,RECLTD.NS,
Date,,,,,,
2015-01-01,53.715877532958984,54.00389963317998,53.12383608360223,53.53986547413212,2048687,RECLTD
2015-01-02,53.587860107421875,55.1159682103162,53.44384908454861,53.74787163162711,3836530,RECLTD
2015-01-05,53.43585205078125,53.923888546030874,53.23583762739093,53.60386546860636,4518095,RECLTD
2015-01-06,51.17970657348633,53.29186152148282,50.9236886797594,53.29186152148282,4128829,RECLTD
2015-01-07,50.85967254638672,51.73173748195966,49.68358825803402,51.267703317349884,5979365,RECLTD
2015-01-08,51.34771728515625,52.22778098564666,49.64359328675422,51.36371779225819,7959559,RECLTD
2015-01-09,50.43564987182617,51.54773233162597,50.283640169513596,51.219707282916936,4003538,RECLTD
2015-01-12,50.427642822265625,51.24370111159579,50.10761970837588,51.20369822235957,3925183,RECLTD
2015-01-13,49.747596740722656,50.883678213263394,49.58758517401428,50.82767481600419,5424194,RECLTD
2015-01-14,49.939605712890625,50.723662984240434,49.60358209815311,50.083616763619105,3912738,RECLTD
2015-01-15,52.44378662109375,53.5238646064252,50.555648989003636,50.88367397561499,12690349,RECLTD
2015-01-16,52.20378112792969,53.05184385532735,51.459726584902555,52.16377823051365,4620018,RECLTD
2015-01-19,52.667808532714844,53.57987317288969,52.21177621262742,52.21177621262742,4186066,RECLTD
2015-01-20,51.49970626831055,53.19582770311803,51.411701886930594,52.97981280553112,3673055,RECLTD
2015-01-21,51.979759216308594,52.59580312575387,51.53972738735572,51.65173744253728,5930301,RECLTD
2015-01-22,50.955684661865234,52.243779140398686,50.163628669264895,51.61173472250095,5808951,RECLTD
2015-01-23,50.90768051147461,52.17977116243268,50.40364342612464,51.443718607933555,6465986,RECLTD
2015-01-27,52.227783203125,52.48380109395793,50.243638852142645,51.33171895748771,8273586,RECLTD
2015-01-28,54.51593780517578,55.468005295744916,52.08376336789982,52.44378938196365,14049794,RECLTD
