Price,Close,High,Low,Open,Volume,symbol
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,
Date,,,,,,
2015-01-01,8981.6962890625,9051.088151962003,8908.377873163872,9008.610667945262,5510,SHREECEM
2015-01-02,8932.2265625,9003.198208282922,8905.0250363309,9003.198208282922,1605,SHREECEM
2015-01-05,8909.8603515625,8998.360235377551,8888.26244400608,8906.939288581309,2685,SHREECEM
2015-01-06,8693.208984375,8921.785208208748,8620.130029050239,8921.785208208748,2183,SHREECEM
2015-01-07,8681.3818359375,8759.633225123123,8598.725000449966,8701.495364021644,6180,SHREECEM
2015-01-08,8775.0048828125,8811.640234875978,8687.606820700279,8811.640234875978,9564,SHREECEM
2015-01-09,8800.431640625,8859.527269044074,8787.7409664288,8797.271131477819,5835,SHREECEM
2015-01-12,8813.603515625,8888.263197981852,8730.228345862562,8730.228345862562,21195,SHREECEM
2015-01-13,8842.193359375,8918.911716824285,8811.59188049533,8841.378679297235,16857,SHREECEM
2015-01-14,8871.40625,8909.33423921352,8773.28078957087,8897.074753279572,13055,SHREECEM
2015-01-15,9552.96484375,9704.29514706988,8830.793649426007,8830.793649426007,34301,SHREECEM
2015-01-16,9501.439453125,9673.649380776382,9424.624743251445,9673.649380776382,5131,SHREECEM
2015-01-19,9824.162109375,9886.274202009612,9510.821819991808,9510.821819991808,23250,SHREECEM
2015-01-20,10015.00390625,10104.652391244372,9680.496811686768,9774.215891246335,24943,SHREECEM
2015-01-21,9987.1337890625,10200.433175010572,9922.674900761458,10080.709780937677,11973,SHREECEM
2015-01-22,10443.853515625,10727.21442612967,9908.306539134952,10008.874174379916,27153,SHREECEM
2015-01-23,10564.34375,10662.085734075075,10345.05821179886,10655.381224540533,46747,SHREECEM
2015-01-27,10390.7451171875,10768.400384316634,10141.289279484177,10631.341424200178,12300,SHREECEM
2015-01-28,10590.873046875,10631.43494932542,10439.877562851087,10583.545602706836,12808,SHREECEM
2015-01-29,10434.9921875,10717.634709042666,10315.364237389591,10717.634709042666,12831,SHREECEM
2015-01-30,10506.634765625,10583.544863857502,10344.098147480636,10583.544863857502,26559,SHREECEM
2015-02-02,10437.7216796875,10631.434070751417,10385.426891637131,10631.434070751417,11832,SHREECEM
2015-02-03,10390.359375,11288.476332561833,9863.337136582204,10717.63534374401,90496,SHREECEM
2015-02-04,10237.0634765625,10446.195823883576,9673.693164646094,10390.357047539728,31196,SHREECEM
2015-02-05,10537.4296875,10629.234142721913,9915.538707262296,10055.806815863882,9439,SHREECEM
2015-02-06,10605.623046875,10727.214292372837,10239.221820768913,10532.209235264889,18958,SHREECEM
2015-02-09,10599.541015625,10705.855366964592,10443.325403038942,10443.325403038942,12371,SHREECEM
2015-02-10,10538.244140625,10688.90386193375,10374.749698249674,10535.657928429322,21411,SHREECEM
2015-02-11,10616.830078125,10631.62807522071,10391.989566535669,10545.283197912495,7732,SHREECEM
2015-02-12,10645.275390625,10698.384864255504,10468.611400013548,10468.611400013548,2518,SHREECEM
2015-02-13,10822.8017578125,11014.072015889731,10578.757808209233,10578.757808209233,29096,SHREECEM
2015-02-16,10595.373046875,10943.337759751432,10449.4545935741,10866.331322433232,5847,SHREECEM
2015-02-18,10438.8740234375,10822.9943573443,10286.920724099018,10403.148751254947,85677,SHREECEM
2015-02-19,10539.1533203125,10770.314839145178,10345.152814756491,10587.32981945273,47444,SHREECEM
2015-02-20,10640.3427734375,10679.324890824244,10444.667079321827,10594.225891278194,12577,SHREECEM
2015-02-23,10641.828125,10679.32586304033,10550.311757250432,10655.812377467972,7325,SHREECEM
