Price,Close,High,Low,Open,Volume,symbol
Ticker,TMPV.NS,TMPV.NS,TMPV.NS,TMPV.NS,TMPV.NS,
Date,,,,,,
2015-01-01,484.241943359375,485.2134310669074,478.2186596412918,480.4045369489309,944551,TMPV
2015-01-02,497.2113952636719,502.65178636939925,483.0761292247072,483.0761292247072,4193093,TMPV
2015-01-05,508.86932373046875,511.0065966332417,492.256764487063,495.55985257522065,6758676,TMPV
2015-01-06,487.10784912109375,499.6887044964711,485.0191206397,499.6887044964711,7979598,TMPV
2015-01-07,479.7730407714844,486.1363148346608,475.25556327471406,480.89025156722636,9232656,TMPV
2015-01-08,497.4056701660156,500.12586559506866,486.7192159485908,489.6337089107412,5535587,TMPV
2015-01-09,507.41204833984375,509.98652044312814,500.80587273463533,506.3919563951082,4053562,TMPV
2015-01-12,507.41204833984375,509.74361857766706,496.6770204728021,503.7203355319145,2560568,TMPV
2015-01-13,504.643310546875,510.71513838987204,500.5630324076348,505.51764944120725,4328812,TMPV
2015-01-14,505.5176696777344,511.6381021144484,499.30011843678534,506.6349104975732,6070608,TMPV
2015-01-15,517.758544921875,520.7216124296564,508.8207979782864,513.2410970641448,6902556,TMPV
2015-01-16,510.7637634277344,520.5273047069986,507.5092496679796,515.9612525869302,4250137,TMPV
2015-01-19,523.1503295898438,524.2189660760691,508.23790327135214,511.49241708145706,4617341,TMPV
2015-01-20,543.26025390625,545.0089316280818,519.5071717582159,523.3931821825524,6140342,TMPV
2015-01-21,535.77978515625,542.531654681637,530.436542839497,540.9772743513472,6521363,TMPV
2015-01-22,550.3521728515625,552.4894456202214,532.9138202061077,534.9539442125548,6010572,TMPV
2015-01-23,571.676513671875,574.2995304245087,557.6384267097823,558.6099143959428,7764736,TMPV
2015-01-27,587.317626953125,590.3778433473497,579.0599211034786,579.0599211034786,7213518,TMPV
2015-01-28,572.4051513671875,582.1200880238038,570.2678185562554,581.9257904892991,8297785,TMPV
2015-01-29,581.5371704101562,583.5772944347164,564.0502731940287,569.2963064000404,5874507,TMPV
2015-01-30,568.4706420898438,587.4633774450521,564.5360867337,584.2574079362624,4180985,TMPV
2015-02-02,575.611083984375,578.9142021360292,564.2931622443117,571.0450318073229,4363228,TMPV
2015-02-03,586.1032104492188,594.9438076430208,579.2055884779278,580.6142155485602,6100343,TMPV
2015-02-04,574.54248046875,589.3577588215585,571.4337196124658,589.3577588215585,3398715,TMPV
2015-02-05,572.4051513671875,585.7145924121412,565.4103801936373,574.15382917773,6847443,TMPV
2015-02-06,543.6488647460938,555.6953715555416,536.4597961939318,550.8864777151391,12221202,TMPV
2015-02-09,527.1820068359375,538.6456811513815,525.8704685218473,534.3225310742979,4628548,TMPV
2015-02-10,548.0205688476562,551.8094306865738,527.8620498957689,528.4935468460484,5617236,TMPV
2015-02-11,542.9688110351562,555.1124663334285,537.5770247265663,550.8379207642815,4637550,TMPV
2015-02-12,545.7861328125,549.8664408443624,536.7512378014786,546.1747278696889,5488927,TMPV
2015-02-13,549.4292602539062,551.0322448853922,539.1799753725053,546.6604904109325,3506531,TMPV
2015-02-16,557.7841186523438,563.9045509928793,549.3807202201156,552.7809271140903,5793607,TMPV
2015-02-18,567.6448364257812,570.2678533014096,544.6689418108969,556.3755188065127,5846505,TMPV
2015-02-19,560.1156616210938,575.6595820021626,555.7924522048771,569.2962487679156,4316943,TMPV
2015-02-20,563.3701171875,568.324763554303,555.9382075686673,562.9815221729564,3907248,TMPV
2015-02-23,557.832763671875,567.7906030558639,555.7440350333181,565.4104280908608,3040407,TMPV
2015-02-24,548.31201171875,561.5243637918234,543.9888616548324,560.5528761293003,4350356,TMPV
2015-02-25,552.0037841796875,559.5814486943286,547.9234756265487,550.5465525290615,3082740,TMPV
2015-02-26,544.6689453125,555.7440253880098,541.4630357772328,553.8495943332962,3570924,TMPV
2015-02-27,558.7556762695312,564.4389698292747,547.4377534374061,550.88656511292,4357037,TMPV
2015-03-02,568.3248291015625,583.868751338796,556.7640661541673,580.3713958045389,4951897,TMPV
2015-03-03,557.7356567382812,565.8962144223726,555.6954723687161,565.8962144223726,3593208,TMPV
2015-03-04,557.7356567382812,575.2225574997071,553.8496454960812,564.9247265946701,6242783,TMPV
2015-03-05,554.4324340820312,561.3300562948818,551.517971146198,559.5813785333819,3354510,TMPV
2015-03-09,548.9921264648438,557.2498317299932,545.980454705853,554.7239038141653,3566055,TMPV
2015-03-10,544.2317504882812,556.3754658414356,542.7745190294335,551.7122652417446,3917160,TMPV
2015-03-11,535.1969604492188,549.0893562769011,532.5738833776026,545.0090474607147,3184841,TMPV
2015-03-12,547.8262939453125,550.7893614226385,538.4999520100957,539.0828446353354,3430749,TMPV
2015-03-13,542.4345092773438,549.5750338609995,539.277144246157,549.5264295096852,5382475,TMPV
2015-03-16,541.0257568359375,549.5749675366068,538.4513446742975,543.1144851313439,2786971,TMPV
2015-03-17,555.2582397460938,562.4958528150893,546.3690377154339,547.9234179792311,5395883,TMPV
2015-03-18,544.2317504882812,554.7238769233633,540.6371862917454,554.0924399235516,4569613,TMPV
2015-03-19,538.01416015625,552.7323474589092,535.5368367543073,548.8949413860817,3295114,TMPV
2015-03-20,531.9909057617188,534.9539731350657,525.5790271777041,533.302444088175,5119749,TMPV
2015-03-23,535.7311401367188,541.9001765013244,532.4280821855955,532.4280821855955,3153860,TMPV
2015-03-24,517.0784912109375,536.7512668751704,513.3382336172098,536.0712254882545,4519046,TMPV
2015-03-25,526.4048461914062,530.0479551067303,518.29283383315,520.2358692043371,8625253,TMPV
2015-03-26,509.30657958984375,523.6361144001812,505.95491674613413,515.7670033638868,6544581,TMPV
2015-03-27,520.090087890625,521.4987749738204,503.3803801512476,510.6665975869666,4721243,TMPV
2015-03-30,524.6074829101562,525.6275748241759,516.2040854653471,521.5472670994711,4012522,TMPV
2015-03-31,534.5167846679688,543.8431254213106,522.2759212263875,524.7532445354099,5409542,TMPV
2015-04-01,548.7978515625,550.2550831520914,532.3795291922864,533.4481656913201,4222512,TMPV
2015-04-06,557.87548828125,563.1287138626019,545.3069180389474,553.7023461122594,5728358,TMPV
2015-04-07,550.2164306640625,560.3792939727398,544.0303738286897,558.7591091183286,3201751,TMPV
2015-04-08,551.345703125,559.2991968644908,549.0873088473628,554.7824083092164,3774897,TMPV
2015-04-09,549.774658203125,554.6350932718458,542.2629786637498,552.6221779493658,3043135,TMPV
2015-04-10,552.474853515625,559.1027840220069,545.5032165797174,548.6944423790865,2808049,TMPV
2015-04-13,546.1905517578125,553.7022300601541,542.4592844691571,552.8184820488061,2889208,TMPV
2015-04-15,530.6763916015625,541.281069965633,528.5161649142893,541.281069965633,4118983,TMPV
2015-04-16,531.4618530273438,541.2810096652623,524.5393595838864,533.9166421868234,4027716,TMPV
2015-04-17,525.6685180664062,534.947632924201,524.4902672341703,531.7073232728025,2728290,TMPV
2015-04-20,523.5574340820312,533.3275067394479,511.6271350185897,533.3275067394479,5011252,TMPV
2015-04-21,517.8624267578125,528.2707104635363,514.0329310923071,521.8391738372925,3243871,TMPV
2015-04-22,514.0328979492188,520.1207876189433,501.4152744992564,519.4334346038905,4311384,TMPV
2015-04-23,502.7408752441406,518.2551324548513,499.25508623995484,518.2551324548513,4961920,TMPV
2015-04-24,506.8648986816406,510.5961663727039,499.4023333338248,505.9320667760302,4302328,TMPV
2015-04-27,507.503173828125,513.5419801678541,503.7719056525708,511.5781485037323,3082875,TMPV
2015-04-28,520.26806640625,524.1466458304741,508.976034624885,511.0871775826506,6417077,TMPV
2015-04-29,511.47998046875,518.4515588980443,507.4540896018085,517.2241641089863,3685760,TMPV
2015-04-30,499.0586853027344,511.3817161114394,497.5858116618999,508.8287591065458,10009172,TMPV
2015-05-04,497.291259765625,506.66854349717397,488.5031015307055,502.49540142379607,5849866,TMPV
2015-05-05,501.21893310546875,506.3739910658483,496.8984796042159,500.28610110731364,3398712,TMPV
2015-05-06,488.8467712402344,499.30416817946843,486.833825935809,499.30416817946843,5925410,TMPV
2015-05-07,479.2731018066406,493.9036410452605,473.87256497612583,484.5754410652804,5504557,TMPV
2015-05-08,504.41015625,506.57038298687087,488.3558269967645,489.7305031176405,6229295,TMPV
2015-05-11,520.120849609375,521.3482444499052,507.65050604331,512.805564373537,5520513,TMPV
2015-05-12,504.2628173828125,516.1931176222024,501.9062255948469,516.1931176222024,4569616,TMPV
2015-05-13,511.0380554199219,516.0458016875689,497.3894027534939,507.6504341535112,4442178,TMPV
2015-05-14,507.25762939453125,509.61425105984495,500.87520727565595,509.61425105984495,3587736,TMPV
2015-05-15,510.498046875,515.0148355690193,507.6995508944885,509.6142986850734,4038816,TMPV
2015-05-18,511.2835693359375,514.9166697842726,501.07162103759833,507.8959478377414,4363711,TMPV
2015-05-19,500.58062744140625,509.36878521598703,499.50054411036774,507.5522650870459,5500642,TMPV
2015-05-20,496.1129455566406,504.5573972531367,494.44367675206365,501.7589612655979,6385674,TMPV
2015-05-21,501.9553527832031,503.2318312958234,495.8674630329577,497.3403366855308,4708702,TMPV
2015-05-22,505.3429260253906,507.60132009123134,500.97338928610816,502.49534659582406,4744826,TMPV
2015-05-25,496.1620178222656,504.70469685650215,493.90362357747193,503.72278110386304,3080546,TMPV
2015-05-26,488.6012878417969,496.84937422713284,484.6245110370466,495.8674584677907,7389680,TMPV
2015-05-27,463.21875,466.3608923519359,455.16702895172074,465.03530011078516,15936377,TMPV
2015-05-28,475.59088134765625,478.63482604957704,463.7096952331398,465.2807663662947,11792862,TMPV
2015-05-29,472.9397277832031,481.3842094546899,470.73041728596075,476.42554676937806,7892019,TMPV
2015-06-01,463.5133056640625,474.1670972657296,462.4823061398356,474.1670972657296,4610219,TMPV
2015-06-02,458.5055847167969,469.7485024002248,456.5908369626125,464.54436076090605,6237231,TMPV
2015-06-03,448.5882568359375,460.2730493215759,426.83882700513396,458.5546966041087,9702740,TMPV
2015-06-04,443.0404052734375,450.1592945716022,437.39438962316893,448.5882233540414,8001049,TMPV
2015-06-05,434.1049499511719,441.42020415562433,431.55196306165095,437.59073880418794,11195670,TMPV
2015-06-08,427.7225036621094,430.0790954522714,421.2909375657719,427.42791095978265,7072020,TMPV
2015-06-09,432.09197998046875,435.7741637547564,423.5002178404642,423.5002178404642,7741629,TMPV
2015-06-10,438.5235900878906,441.2729422652176,428.1152769039678,431.9447424244201,9716102,TMPV
2015-06-11,422.420166015625,438.719943430537,420.35813695539804,438.42538069294335,9668308,TMPV
2015-06-12,414.1720275878906,421.73279041513604,409.70432316813856,418.8361271326448,10871836,TMPV
2015-06-15,418.6397399902344,420.2108110106859,410.53893594314616,418.296063522372,7287773,TMPV
2015-06-16,424.97314453125,427.9188919193105,413.6320290734939,419.32712870413405,6192559,TMPV
2015-06-17,425.85687255859375,429.48994285245027,418.7870671756823,428.1152667962426,7034146,TMPV
2015-06-18,437.3943786621094,439.40729394418094,423.59844452645893,427.03514961875976,8198142,TMPV
2015-06-19,425.21856689453125,436.7560759624206,423.7948071591832,436.7560759624206,6891821,TMPV
2015-06-22,432.53387451171875,435.9705795305406,427.1333380535701,427.1333380535701,5281379,TMPV
2015-06-23,428.11529541015625,439.30912970985213,427.13337959499535,433.0248744859608,5762483,TMPV
2015-06-24,422.81292724609375,430.7664508011198,420.35813787514064,430.7664508011198,7081258,TMPV
2015-06-25,424.58038330078125,428.2134837245869,421.7328334915321,425.16953877027566,7745469,TMPV
2015-06-26,429.68634033203125,430.8646212584821,423.40208549388757,427.13335337618486,5009173,TMPV
2015-06-29,420.50543212890625,424.6785741873951,410.5880767732415,421.04547382078704,7143044,TMPV
2015-06-30,426.2987060546875,428.3607350705145,415.05578898182085,420.25993033852194,6387312,TMPV
2015-07-01,436.4615478515625,439.30909751369893,423.5984456225291,428.8517008417771,6054910,TMPV
2015-07-02,428.5080261230469,436.9525075428559,427.1333500699828,436.9525075428559,4641851,TMPV
2015-07-03,425.3167724609375,428.1152381530112,422.66561809399025,428.1152381530112,3709457,TMPV
2015-07-06,423.3038635253906,425.66045520814566,413.0919462563261,420.2599188675579,4600687,TMPV
2015-07-07,423.7456970214844,427.8206710401066,420.2599083659394,426.4950788874035,5667938,TMPV
2015-07-08,397.62677001953125,416.33225189801317,392.76627537548416,416.33225189801317,15521757,TMPV
2015-07-09,390.6060485839844,396.0556986301773,387.1202598788963,392.913556443236,9351601,TMPV
2015-07-10,394.6319274902344,398.46139285958736,390.8515459213039,393.0117725223185,13661389,TMPV
2015-07-13,394.8283386230469,399.3451571754927,389.86964598613133,399.3451571754927,8047912,TMPV
2015-07-14,378.9704284667969,396.2030393830539,374.0608492922857,396.2030393830539,11333562,TMPV
2015-07-15,387.1693420410156,387.8566950057823,375.68094652278916,380.0013695373108,15561638,TMPV
2015-07-16,388.1022033691406,391.4407109533714,385.3528512328778,387.7585268606851,5199913,TMPV
2015-07-17,390.8515625,395.9575365195102,383.3399128096312,388.78956334374726,6590110,TMPV
2015-07-20,383.6835632324219,394.6319173929411,382.25977346831627,391.7843678304193,5777196,TMPV
2015-07-21,382.06341552734375,386.1874436030407,379.1176683451217,384.71457001192965,6461958,TMPV
2015-07-22,382.5052795410156,385.69650582124586,378.9704067108522,380.983322070567,5955109,TMPV
2015-07-23,394.0918884277344,396.1048037094062,378.03756007803554,381.7197441047697,9510349,TMPV
2015-07-24,383.1925964355469,392.1280351706794,381.96520182813003,390.36056895658595,7059848,TMPV
2015-07-27,370.6241149902344,378.28304591939286,366.2545778791266,377.30113016100375,8450904,TMPV
2015-07-28,363.4070129394531,368.1201963958747,359.4793500705386,366.2545625262782,10975840,TMPV
2015-07-29,369.6421813964844,373.07888638502396,365.959997480192,367.1382783539919,9532212,TMPV
2015-07-30,370.6241149902344,375.58277758382286,369.20032515429386,374.748143196054,6562559,TMPV
2015-07-31,376.9083557128906,383.43808926810846,373.1770579915592,373.9134947827272,6947628,TMPV
2015-08-03,381.1796875,387.2675468729438,375.0917981613671,379.3631374581749,6647982,TMPV
2015-08-04,373.86444091796875,380.00141466908445,371.16417246747784,378.92130129574963,5621275,TMPV
2015-08-05,369.59307861328125,381.47426506268306,368.31660013731414,371.90058659585895,8298929,TMPV
2015-08-06,376.1719055175781,377.74297660922565,366.45094621368645,369.69125599308745,7976356,TMPV
2015-08-07,386.2856140136719,388.8386007185982,375.4845417714886,375.4845417714886,10706804,TMPV
2015-08-10,378.72491455078125,388.1512817232101,375.1900118782752,377.055645799248,14494111,TMPV
2015-08-11,362.47418212890625,380.98329944833574,360.903110983404,380.0995812932688,9984809,TMPV
2015-08-12,348.7764892578125,359.2338860882719,347.15630428442074,358.3992517007621,11107801,TMPV
2015-08-13,343.08135986328125,354.42250484796665,341.70668379517446,350.4457280485221,11147702,TMPV
2015-08-14,348.8255615234375,353.24418228868865,338.8591229016201,345.09429375239023,6400810,TMPV
2015-08-17,349.6601867675781,355.748046128242,339.00639542930503,347.9909180912813,5812093,TMPV
2015-08-18,342.29583740234375,351.8695159916718,341.41211921800544,349.4147266097928,5623977,TMPV
2015-08-19,344.89788818359375,348.48187448047764,337.7789993883452,342.39401514533364,6435894,TMPV
2015-08-20,336.0115966796875,343.37596513439405,334.8332857406577,341.7066962983838,7789676,TMPV
2015-08-21,326.3888244628906,333.26223545324024,321.8229217267257,333.26223545324024,8793065,TMPV
2015-08-24,302.6755065917969,311.2672687416046,296.14577335108066,311.2672687416046,14753473,TMPV
2015-08-25,322.90301513671875,325.3578046238982,300.2698380855093,302.430064820504,13398318,TMPV
2015-08-26,329.03997802734375,335.2260353452019,312.49469143505195,316.17687554465584,13781660,TMPV
2015-08-27,328.0089416503906,336.3552254579394,321.33192659062775,332.2802811215096,17224851,TMPV
2015-08-28,333.9004211425781,335.8151687400911,329.1872377781156,335.8151687400911,7123909,TMPV
2015-08-31,333.9986267089844,342.4431079078793,326.4378936320809,333.8513453438824,7244287,TMPV
2015-09-01,323.9339904785156,333.2131060315,319.2208070023364,328.8926828507208,8606005,TMPV
2015-09-02,318.58258056640625,326.4869904542863,315.6368332841119,322.903003920633,8097313,TMPV
2015-09-03,327.5179748535156,333.65494807416826,320.3009183185797,320.3009183185797,8138855,TMPV
2015-09-04,317.06060791015625,324.8177367879872,310.2853948387771,324.03221612910266,6592654,TMPV
2015-09-07,317.0115051269531,326.9779439726201,314.21303925296826,321.87197009848313,5357928,TMPV
2015-09-08,324.9158935546875,327.22340140318147,310.57991858784703,320.1045127004866,6729868,TMPV
