Price,Close,High,Low,Open,Volume,symbol
Ticker,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,
Date,,,,,,
2015-01-01,91.15481567382812,91.48484750402933,90.84128140642811,91.17956537528731,1082549,WIPRO
2015-01-02,91.96338653564453,92.45018211880505,91.25381679203906,91.31982718360378,4198953,WIPRO
2015-01-05,92.12840270996094,93.23400794810327,91.66635682572571,91.92213282543757,3838601,WIPRO
2015-01-06,89.97494506835938,91.81487649351322,89.45514763768071,91.58385019081138,12396695,WIPRO
2015-01-07,89.29010009765625,89.93365923285752,88.83630650592114,89.63662935718301,8305581,WIPRO
2015-01-08,89.93368530273438,92.2274103327507,89.63665534095716,91.77361660947037,7792131,WIPRO
2015-01-09,91.3363265991211,92.4089300172986,89.6449135166104,90.62675684111613,13587116,WIPRO
2015-01-12,91.75712585449219,92.24392148647583,90.37924020587134,90.75877817326229,4421790,WIPRO
2015-01-13,92.98648071289062,93.5145369697228,91.58384554902291,91.93038162825475,6312675,WIPRO
2015-01-14,91.08053588867188,93.97656599304754,90.75875625807758,93.39901039959139,9723858,WIPRO
2015-01-15,92.326416015625,93.06898756419403,90.96503484324845,92.408923965466,6993422,WIPRO
2015-01-16,91.59209442138672,92.96997983668832,91.23731293133406,92.54093582193786,8304680,WIPRO
2015-01-19,96.40231323242188,98.76204191931123,96.09703113498162,97.5409202440643,32334205,WIPRO
2015-01-20,97.4254150390625,98.01947498625125,96.1877957445146,96.71584530061882,13390593,WIPRO
2015-01-21,97.1448974609375,98.1844990981473,95.15645428527307,97.29340910288963,17701408,WIPRO
2015-01-22,98.95064544677734,99.47490224718435,97.31131952228047,98.19339691068599,19458651,WIPRO
2015-01-23,100.15726470947266,100.5234149172039,98.23500997904195,99.72455220256649,19277835,WIPRO
2015-01-27,99.61634826660156,100.81464547520721,99.02552925950573,100.25710422475791,15764550,WIPRO
2015-01-28,101.0643081665039,101.85484803496384,99.15036953760091,99.1919768990988,16769969,WIPRO
2015-01-29,100.30704498291016,102.27091364632658,99.82439556408737,101.18912233204128,13488321,WIPRO
2015-01-30,100.94779205322266,101.53029505600814,99.38335812598255,101.00604506231353,9393192,WIPRO
2015-02-02,104.03506469726562,104.46778394478892,101.35555480923654,101.85484312313365,15948657,WIPRO
2015-02-03,103.4442367553711,104.52602800954772,102.81180359083096,103.85198748907771,8465539,WIPRO
2015-02-04,103.05314636230469,104.83394021255887,102.56218081449157,103.71886419582266,8923261,WIPRO
2015-02-05,106.2236328125,107.03081842419296,103.33607889441512,103.34440172204714,12263607,WIPRO
