Price,Close,High,Low,Open,Volume,symbol
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,
Datetime,,,,,,
2023-06-14 03:45:00+00:00,2348.39990234375,2352.89990234375,2340.0,2352.89990234375,0,LT
2023-06-14 04:45:00+00:00,2350.800048828125,2356.5,2346.0,2348.449951171875,106114,LT
2023-06-14 05:45:00+00:00,2353.449951171875,2354.0,2346.0,2351.0,87238,LT
2023-06-14 06:45:00+00:00,2354.949951171875,2355.0,2350.050048828125,2353.5,67344,LT
2023-06-14 07:45:00+00:00,2355.0,2355.0,2350.550048828125,2355.0,307342,LT
2023-06-14 08:45:00+00:00,2353.949951171875,2358.89990234375,2349.0,2354.89990234375,229787,LT
2023-06-14 09:45:00+00:00,2355.050048828125,2360.0,2352.699951171875,2353.949951171875,0,LT
2023-06-15 03:45:00+00:00,2362.0,2365.0,2349.0,2354.89990234375,160728,LT
2023-06-15 04:45:00+00:00,2362.0,2367.0,2358.800048828125,2361.64990234375,720095,LT
2023-06-15 05:45:00+00:00,2363.85009765625,2364.0,2359.0,2361.60009765625,153680,LT
2023-06-15 06:45:00+00:00,2362.85009765625,2369.0,2361.449951171875,2363.89990234375,228103,LT
2023-06-15 07:45:00+00:00,2363.949951171875,2369.0,2362.60009765625,2362.60009765625,609683,LT
2023-06-15 08:45:00+00:00,2359.949951171875,2364.699951171875,2355.10009765625,2363.949951171875,448274,LT
2023-06-15 09:45:00+00:00,2361.300048828125,2363.89990234375,2358.39990234375,2359.949951171875,240722,LT
2023-06-16 03:45:00+00:00,2375.25,2376.699951171875,2352.35009765625,2364.449951171875,0,LT
2023-06-16 04:45:00+00:00,2363.5,2380.0,2363.5,2375.5,134682,LT
2023-06-16 05:45:00+00:00,2365.800048828125,2370.0,2359.60009765625,2364.0,119324,LT
2023-06-16 06:45:00+00:00,2366.89990234375,2373.800048828125,2365.0,2366.0,103727,LT
2023-06-16 07:45:00+00:00,2367.949951171875,2368.0,2364.0,2366.85009765625,157612,LT
2023-06-16 08:45:00+00:00,2366.449951171875,2372.85009765625,2364.14990234375,2367.89990234375,679717,LT
2023-06-16 09:45:00+00:00,2368.0,2368.0,2363.550048828125,2367.39990234375,335355,LT
2023-06-19 03:45:00+00:00,2397.10009765625,2399.89990234375,2370.949951171875,2379.0,0,LT
2023-06-19 04:45:00+00:00,2419.10009765625,2419.89990234375,2392.0,2397.10009765625,605936,LT
2023-06-19 05:45:00+00:00,2392.550048828125,2419.25,2387.300048828125,2418.89990234375,605003,LT
2023-06-19 06:45:00+00:00,2375.5,2394.64990234375,2375.14990234375,2392.60009765625,308522,LT
2023-06-19 07:45:00+00:00,2364.949951171875,2377.5,2363.39990234375,2375.0,516077,LT
2023-06-19 08:45:00+00:00,2365.449951171875,2376.0,2363.5,2364.949951171875,497341,LT
2023-06-19 09:45:00+00:00,2366.0,2368.5,2361.0,2365.949951171875,119873,LT
2023-06-20 03:45:00+00:00,2361.800048828125,2368.550048828125,2354.85009765625,2364.949951171875,0,LT
2023-06-20 04:45:00+00:00,2372.10009765625,2375.0,2359.550048828125,2362.0,135333,LT
2023-06-20 05:45:00+00:00,2374.0,2374.64990234375,2372.10009765625,2372.10009765625,155526,LT
2023-06-20 06:45:00+00:00,2378.949951171875,2381.949951171875,2373.25,2373.949951171875,259947,LT
2023-06-20 07:45:00+00:00,2378.449951171875,2380.949951171875,2375.10009765625,2379.0,280482,LT
2023-06-20 08:45:00+00:00,2381.800048828125,2381.949951171875,2371.60009765625,2378.449951171875,610008,LT
2023-06-20 09:45:00+00:00,2382.0,2389.64990234375,2381.89990234375,2381.949951171875,143581,LT
2023-06-21 03:45:00+00:00,2409.699951171875,2411.699951171875,2384.0,2384.050048828125,0,LT
2023-06-21 04:45:00+00:00,2400.300048828125,2412.0,2398.5,2409.449951171875,240350,LT
2023-06-21 05:45:00+00:00,2400.89990234375,2405.0,2396.14990234375,2400.25,251099,LT
2023-06-21 06:45:00+00:00,2400.0,2400.949951171875,2396.35009765625,2400.949951171875,169731,LT
2023-06-21 07:45:00+00:00,2399.949951171875,2400.050048828125,2393.0,2400.0,206137,LT
2023-06-21 08:45:00+00:00,2395.949951171875,2400.0,2391.60009765625,2399.89990234375,227917,LT
2023-06-21 09:45:00+00:00,2394.449951171875,2396.0,2392.60009765625,2395.949951171875,0,LT
2023-06-22 03:45:00+00:00,2396.0,2399.0,2380.5,2394.949951171875,194958,LT
2023-06-22 04:45:00+00:00,2405.14990234375,2406.75,2393.050048828125,2396.800048828125,196570,LT
2023-06-22 05:45:00+00:00,2391.0,2407.0,2390.39990234375,2404.949951171875,231959,LT
2023-06-22 06:45:00+00:00,2395.800048828125,2396.64990234375,2385.75,2390.949951171875,188915,LT
2023-06-22 07:45:00+00:00,2418.25,2421.949951171875,2395.75,2395.75,398415,LT
2023-06-22 08:45:00+00:00,2416.39990234375,2424.0,2410.050048828125,2417.550048828125,409763,LT
2023-06-22 09:45:00+00:00,2419.0,2419.0,2414.449951171875,2416.39990234375,120876,LT
2023-06-23 03:45:00+00:00,2408.89990234375,2426.550048828125,2392.050048828125,2418.949951171875,0,LT
2023-06-23 04:45:00+00:00,2401.35009765625,2419.0,2396.199951171875,2408.89990234375,150957,LT
2023-06-23 05:45:00+00:00,2397.14990234375,2408.699951171875,2390.0,2400.14990234375,109941,LT
2023-06-23 06:45:00+00:00,2396.300048828125,2401.60009765625,2393.35009765625,2397.800048828125,76587,LT
2023-06-23 07:45:00+00:00,2399.550048828125,2403.800048828125,2393.0,2396.0,88428,LT
2023-06-23 08:45:00+00:00,2390.5,2403.0,2390.300048828125,2399.64990234375,185420,LT
2023-06-23 09:45:00+00:00,2392.89990234375,2393.0,2383.89990234375,2390.550048828125,169542,LT
2023-06-26 03:45:00+00:00,2386.949951171875,2403.85009765625,2382.0,2398.0,0,LT
2023-06-26 04:45:00+00:00,2379.050048828125,2386.949951171875,2375.0,2386.949951171875,59601,LT
2023-06-26 05:45:00+00:00,2384.550048828125,2387.85009765625,2378.0,2379.050048828125,82817,LT
2023-06-26 06:45:00+00:00,2373.75,2385.0,2368.35009765625,2384.0,99486,LT
2023-06-26 07:45:00+00:00,2370.75,2376.10009765625,2368.0,2373.800048828125,74800,LT
2023-06-26 08:45:00+00:00,2380.0,2384.25,2367.949951171875,2370.699951171875,159330,LT
2023-06-26 09:45:00+00:00,2377.550048828125,2381.10009765625,2373.89990234375,2379.89990234375,0,LT
2023-06-27 03:45:00+00:00,2383.5,2394.75,2371.60009765625,2381.050048828125,235471,LT
2023-06-27 04:45:00+00:00,2389.449951171875,2390.0,2378.0,2383.550048828125,143713,LT
2023-06-27 05:45:00+00:00,2394.64990234375,2396.949951171875,2388.25,2389.449951171875,83337,LT
2023-06-27 06:45:00+00:00,2391.800048828125,2395.0,2387.199951171875,2394.64990234375,123401,LT
2023-06-27 07:45:00+00:00,2389.60009765625,2391.949951171875,2387.0,2391.550048828125,102892,LT
2023-06-27 08:45:00+00:00,2388.89990234375,2391.0,2384.199951171875,2390.0,227077,LT
2023-06-27 09:45:00+00:00,2388.050048828125,2390.0,2386.550048828125,2389.0,0,LT
2023-06-30 03:45:00+00:00,2425.89990234375,2448.0,2417.949951171875,2421.39990234375,0,LT
