Price,Close,High,Low,Open,Volume,symbol
Ticker,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,
Date,,,,,,
2014-12-29,17554.5234375,17732.49534134027,17345.377893074616,17345.377893074616,23032,BOSCHLTD
2015-01-05,17474.07421875,17844.79596255343,16979.68614720571,17500.75588082366,78302,BOSCHLTD
2015-01-12,19263.009765625,19480.82524530259,17460.33197945286,17725.3588862673,169530,BOSCHLTD
2015-01-19,19615.80859375,19763.549157240464,19046.00076428089,19140.332371839828,95356,BOSCHLTD
2015-01-26,21403.66015625,21551.625300683503,19446.77260421533,19615.806191231346,139324,BOSCHLTD
2015-02-02,20698.958984375,23268.28263080154,20447.54315843664,21403.661315444155,173305,BOSCHLTD
2015-02-09,22411.79296875,23896.617141693263,19764.714448496004,20601.031739436756,470819,BOSCHLTD
2015-02-16,23860.638671875,24615.06684559323,22145.46529580752,22393.422635427924,316233,BOSCHLTD
2015-02-23,23887.7265625,24286.254762213102,22981.872980511867,24077.017938224388,1109745,BOSCHLTD
2015-03-02,23993.287109375,24166.856544469232,22955.458819385934,23259.47642885905,239084,BOSCHLTD
2015-03-09,23910.365234375,24749.063693655604,23479.58426423155,23897.338489709557,216329,BOSCHLTD
2015-03-16,24586.904296875,25146.110324969995,23448.141460582952,24076.120421538795,472889,BOSCHLTD
2015-03-23,22650.58984375,24840.60958281875,22165.231291336553,24773.275488756706,179960,BOSCHLTD
2015-03-30,22972.615234375,23266.660964186456,22640.478915687036,22943.23838533453,61274,BOSCHLTD
2015-04-06,23420.37890625,23501.99784618002,22504.823733558474,22954.021812072617,104746,BOSCHLTD
2015-04-13,22976.076171875,24074.274136430147,22870.647988132852,23448.137690285068,68590,BOSCHLTD
2015-04-20,19727.341796875,23165.05456478549,19279.62643949054,23165.05456478549,150451,BOSCHLTD
2015-04-27,20217.328125,20528.3521724542,18357.737570048117,19787.175343470626,182164,BOSCHLTD
2015-05-04,19413.21875,20726.000188002545,17786.62681967596,20465.465291837798,133770,BOSCHLTD
2015-05-11,20545.107421875,20792.480450302588,19167.68539488779,19719.795449539484,130436,BOSCHLTD
2015-05-18,20794.322265625,21157.228677307095,20359.0932114276,20663.11081010884,81923,BOSCHLTD
2015-05-25,21264.001953125,21471.66656035495,20151.922703569955,20308.422600644193,269372,BOSCHLTD
2015-06-01,19744.369140625,21435.735248728648,19328.99597134941,21381.83147190871,112373,BOSCHLTD
2015-06-08,18222.9765625,19766.061315561903,17631.068657282616,19665.89015283731,130663,BOSCHLTD
2015-06-15,18963.572265625,19092.221904185593,17878.08501822451,18349.74304006209,141779,BOSCHLTD
2015-06-22,19589.52734375,20071.966058888444,18417.120410313,19126.853343198232,133359,BOSCHLTD
2015-06-29,20652.599609375,21112.30818835328,18866.363577226344,19308.32883336548,150965,BOSCHLTD
2015-07-06,20728.2890625,20928.136567515547,20149.990456203806,20214.810083952234,92899,BOSCHLTD
2015-07-13,21344.3671875,21413.27347432024,20601.97608224536,20752.05386965904,79994,BOSCHLTD
2015-07-20,20892.291015625,21644.113448943077,20757.84568689895,21453.38500769935,65196,BOSCHLTD
2015-07-27,22163.166015625,22377.300172792027,20438.515378097785,20913.3178122659,113733,BOSCHLTD
2015-08-03,23391.0,23986.27689044417,22163.161027188722,22163.161027188722,112940,BOSCHLTD
2015-08-10,22807.8984375,24005.10086375301,22235.21648117066,23421.188954913647,156986,BOSCHLTD
2015-08-17,21671.24609375,23078.897688935245,21373.65238206563,22819.26121292986,114193,BOSCHLTD
2015-08-24,21336.728515625,21483.20820829268,19426.182616491773,21264.70522539252,214421,BOSCHLTD
2015-08-31,19668.5703125,21480.8620502019,19452.547988085964,21362.597310021065,134852,BOSCHLTD
