Price,Close,High,Low,Open,Volume,symbol
Ticker,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,
Date,,,,,,
2014-12-29,153.2213134765625,155.16793903137588,151.9369386933212,153.72302046240586,1509776,COALINDIA
2015-01-05,150.5321807861328,154.927139513792,149.52876667011085,152.9203112817481,12350857,COALINDIA
2015-01-12,152.13766479492188,152.75978898368393,142.88619024194267,150.47199957751747,10999809,COALINDIA
2015-01-19,158.4190216064453,160.54625458014942,150.15088704582618,152.11757621469158,9197633,COALINDIA
2015-01-26,144.83279418945312,158.41902360438579,144.5116943270189,158.41902360438579,31217930,COALINDIA
2015-02-02,146.0970916748047,150.4920502936258,140.53817515996423,142.18377671922957,61778639,COALINDIA
2015-02-09,151.65602111816406,152.47881584358555,143.68891010532016,144.87294373332495,56723475,COALINDIA
2015-02-16,153.62271118164062,156.5326123078768,150.5522662361124,151.57574380171906,21798155,COALINDIA
2015-02-23,158.63978576660156,159.74354139179613,151.9169105949619,154.46558512469835,47922802,COALINDIA
2015-03-02,146.0770263671875,159.82379923507838,145.29435848690508,158.45914629010318,23223892,COALINDIA
2015-03-09,154.64808654785156,157.67666188730698,150.83589055863527,153.29263391439738,17975108,COALINDIA
2015-03-16,155.98231506347656,157.14715244684265,152.33954829745784,155.4528435255829,10279026,COALINDIA
2015-03-23,147.40492248535156,157.99435657194292,146.72719611849865,155.87646975462465,12534853,COALINDIA
2015-03-30,153.7585906982422,155.0081491541533,146.83309787073745,148.65448838149868,7357271,COALINDIA
2015-04-06,164.77157592773438,165.2798738775674,150.96295284051064,154.20331672267332,16871955,COALINDIA
2015-04-13,161.12884521484375,167.6095873854528,160.5570131223552,164.94104192935845,11199945,COALINDIA
2015-04-20,159.37095642089844,163.45847471123344,156.95656068124296,161.74299184596197,13094672,COALINDIA
2015-04-27,153.6526641845703,160.95937254345063,152.14896995379885,159.8157086731785,12990781,COALINDIA
2015-05-04,154.05508422851562,157.31662200116625,149.16275817970777,155.02930694305505,12658488,COALINDIA
2015-05-11,155.41050720214844,159.51921214093096,154.01270729700354,154.6057129256543,14996759,COALINDIA
2015-05-18,158.73561096191406,159.4980450167263,152.23369609303973,155.81292984972748,14109086,COALINDIA
2015-05-25,165.63987731933594,166.78354105720607,155.28342138295287,158.41789042640016,15220028,COALINDIA
2015-06-01,171.69708251953125,173.5608202862878,161.55239975072357,166.04232227510633,21324124,COALINDIA
2015-06-08,167.77894592285156,175.3398021778794,166.7200028318547,172.12061259593867,21411182,COALINDIA
2015-06-15,166.7412109375,170.574593474028,165.87288259428507,168.52024086817704,20450725,COALINDIA
2015-06-22,174.2597198486328,178.53785368475283,167.54601624101264,167.54601624101264,24252752,COALINDIA
2015-06-29,176.8435516357422,181.8417594215314,169.17679866813904,173.13724965535238,24992566,COALINDIA
2015-07-06,177.8812713623047,182.43472680119172,175.2339135489983,175.7845588035453,22266935,COALINDIA
2015-07-13,182.20176696777344,186.88230373349614,176.25051127074187,178.72844097888296,16599961,COALINDIA
2015-07-20,180.465087890625,185.10326409521053,179.55439935967755,182.9853777783317,18162791,COALINDIA
2015-07-27,185.97164916992188,187.56006439319268,176.716493476909,180.63458436097696,28420967,COALINDIA
2015-08-03,175.6575164794922,189.38141880473705,174.57738657782178,186.79759461589578,22838452,COALINDIA
2015-08-10,159.92160034179688,177.07648055171063,153.41969929483741,177.01294654365117,39551945,COALINDIA
2015-08-17,147.68023681640625,162.48427000105366,146.34597078242732,160.93821529734615,23626205,COALINDIA
2015-08-24,151.45005798339844,155.4528686268361,140.8182781270019,144.01628156164654,38641948,COALINDIA
2015-08-31,147.19313049316406,155.85529255180103,143.16914563076102,150.77236430455508,18731249,COALINDIA
2015-09-07,141.41131591796875,149.05688272774003,141.0512725468772,149.05688272774003,20877323,COALINDIA
2015-09-14,145.4352569580078,146.1341568620375,140.22524882699508,141.8983841993698,20800487,COALINDIA
2015-09-21,134.86703491210938,146.02830143604186,133.85045178764096,144.8634636435861,16369012,COALINDIA
2015-09-28,139.08163452148438,139.92878927669176,127.41207001256916,136.18012689958792,25998706,COALINDIA
2015-10-05,142.25843811035156,147.78611667830933,137.111976525261,139.78050833188476,17390439,COALINDIA
2015-10-12,143.4232635498047,145.45642923751097,140.41586240321868,142.74553734505187,11759730,COALINDIA
2015-10-19,144.8210906982422,145.62588506302998,141.41129826449844,143.4232906397452,13000201,COALINDIA
2015-10-26,135.50238037109375,146.0071055303359,135.01526904455747,145.88002458000875,22318587,COALINDIA
2015-11-02,144.9481964111328,146.1342080010987,134.08342538806653,135.54477263870024,13439175,COALINDIA
2015-11-09,143.0420684814453,144.6516571532315,137.0272652681417,141.89840452806018,11486303,COALINDIA
2015-11-16,141.17831420898438,143.84685905490022,138.36152764375694,141.6654384634784,18081058,COALINDIA
2015-11-23,142.53378295898438,144.67284347615683,140.05585279474298,141.4748395491851,15011976,COALINDIA
2015-11-30,142.00430297851562,146.7907217412487,139.58990697425463,142.27962566370744,13982692,COALINDIA
2015-12-07,130.35592651367188,143.16914106131955,129.6146661679402,142.38552039623514,15537607,COALINDIA
2015-12-14,133.99867248535156,135.29057799339384,129.19106786632693,129.6146451380198,14457714,COALINDIA
2015-12-21,136.51895141601562,139.10277539499197,133.8504197374409,133.99867436992895,6935130,COALINDIA
2015-12-28,141.4959716796875,141.89837522781983,135.37528832504526,136.79427466263377,12801650,COALINDIA
2016-01-04,136.01068115234375,142.7879183279044,134.27401154079553,141.03007502080416,15575496,COALINDIA
2016-01-11,134.9305419921875,136.32835481996767,131.56311025684855,135.12115694533352,11096040,COALINDIA
2016-01-18,126.84022521972656,136.85782558703355,121.35489411944789,133.63863558354558,21224253,COALINDIA
2016-01-25,135.52357482910156,137.4508465515758,126.26840738353818,127.92035642088102,19926569,COALINDIA
2016-02-01,138.19210815429688,142.8302852307871,132.00787636116146,136.2648364142611,20204463,COALINDIA
2016-02-08,128.28038024902344,139.67460635499202,125.27297901285486,138.509768849378,18333265,COALINDIA
2016-02-15,132.2620391845703,140.09822084962892,129.78410888355137,130.2712202936357,15154797,COALINDIA
2016-02-22,131.92315673828125,133.85042830432016,123.98108227402174,132.41026805344512,30265985,COALINDIA
2016-02-29,137.72616577148438,138.72157507873422,129.72055684843468,134.27401312964503,25063189,COALINDIA
2016-03-07,135.07882690429688,141.05127068058795,134.1469644034819,137.72618558824183,40169489,COALINDIA
2016-03-14,126.12018585205078,126.64965766503168,123.68461551233862,124.06583263237329,25123309,COALINDIA
2016-03-21,138.09085083007812,138.87862308541526,136.0287502533225,137.74330674241853,11121084,COALINDIA
2016-03-28,132.99356079101562,138.32257106661382,132.36797849555867,138.32257106661382,22318532,COALINDIA
2016-04-04,129.56446838378906,133.89718849731682,126.96946910657391,133.64231428969262,21944138,COALINDIA
2016-04-11,128.56817626953125,130.9546433588754,125.88049292583594,129.84250486634306,25292342,COALINDIA
2016-04-18,133.36424255371094,133.80447071139469,127.0621212205014,128.2206014864009,25926985,COALINDIA
2016-04-25,133.48011779785156,136.07511695092634,131.44119494243841,133.73499199328302,17234284,COALINDIA
2016-05-02,130.63026428222656,134.03619993517586,126.22803818236771,133.78133987024842,19246051,COALINDIA
2016-05-09,130.42172241210938,132.85453112756932,128.19743167301112,130.7460884225406,15610255,COALINDIA
2016-05-16,129.2864227294922,132.2057879086764,128.84619448649426,130.63025727004353,14805991,COALINDIA
2016-05-23,130.35220336914062,131.83506387428102,128.68400297786496,130.21319138373627,15348791,COALINDIA
2016-05-30,143.16497802734375,144.53197607578082,133.4105669905021,134.0361490798696,47096104,COALINDIA
2016-06-06,142.09922790527344,146.3856061354569,140.8712412946778,142.77115231151333,14057284,COALINDIA
2016-06-13,145.1343994140625,145.736803437768,141.12604676616385,141.33457885061762,12147992,COALINDIA
2016-06-20,144.69422912597656,147.77578474020956,141.58949541442806,143.65159657022494,10439102,COALINDIA
2016-06-27,143.69789123535156,145.80631960725538,142.05284081602915,142.05284081602915,11806103,COALINDIA
2016-07-04,144.4393768310547,150.99637465117004,143.65160431205433,144.81008499199024,11750219,COALINDIA
2016-07-11,147.7525634765625,151.8072440651531,145.1807290182657,145.9685011892619,15769967,COALINDIA
2016-07-18,153.59133911132812,155.60708372058886,147.35870882060638,148.12330306635423,15210089,COALINDIA
2016-07-25,151.9925994873047,154.9583059172728,150.02318318297222,153.3827757021276,11538666,COALINDIA
2016-08-01,152.64134216308594,153.61446832013144,148.58666162673254,152.5950001286355,9310943,COALINDIA
2016-08-08,156.60337829589844,157.55332651974282,151.8999367938627,152.9194051515151,13807660,COALINDIA
2016-08-15,154.84246826171875,162.16407196805707,153.89252010799228,156.60336673663264,23217019,COALINDIA
2016-08-22,154.44862365722656,156.39487666796012,152.61823284489256,153.7998773675182,23752432,COALINDIA
2016-08-29,153.9852294921875,157.0899630317594,153.1511291504321,154.30960970376364,12976753,COALINDIA
2016-09-05,153.93887329101562,154.65712544543078,150.6719502460813,153.98520119134767,11165743,COALINDIA
2016-09-12,150.3939208984375,154.3095903338212,148.980580457428,151.8536175256913,15460794,COALINDIA
2016-09-19,152.177978515625,154.56444524857457,150.13905589354013,150.13905589354013,15314946,COALINDIA
2016-09-26,149.3512725830078,156.25582639015093,146.848957997447,152.38649941258674,17129511,COALINDIA
2016-10-03,147.7294158935547,152.45602161234288,146.26973340856634,149.72201067922703,19535339,COALINDIA
2016-10-10,145.06492614746094,149.0964440439882,144.57836998204917,148.2855076738966,7586829,COALINDIA
2016-10-17,145.18075561523438,146.61727411525308,143.48937708816987,145.87584384347508,16914463,COALINDIA
2016-10-24,150.50975036621094,151.52921865601257,144.97222318469264,145.45877923933148,12426988,COALINDIA
2016-10-31,146.3855743408203,153.52181047547722,144.7173598068679,150.50976156253193,14304100,COALINDIA
2016-11-07,150.16220092773438,156.30214611286934,134.05932581955022,147.77573449541788,17148117,COALINDIA
2016-11-14,142.1223602294922,152.43283427333282,139.94441174111782,150.1622017099451,14267419,COALINDIA
2016-11-21,140.987060546875,143.81375546832993,138.36889774794938,142.12237696223505,12182335,COALINDIA
2016-11-28,141.728515625,145.50515945122442,139.99079477168124,141.28828735218252,13314968,COALINDIA
2016-12-05,142.00653076171875,145.34294577408426,139.8980879833039,141.38094852764826,13422750,COALINDIA
2016-12-12,133.5727996826172,143.51256788285824,133.03990148878773,141.75166906382975,20668949,COALINDIA
2016-12-19,133.38742065429688,136.4689753335067,132.53014242914404,133.6654587464552,10338051,COALINDIA
2016-12-26,139.01763916015625,139.80541143870602,130.90827687581378,133.64228761764244,20685388,COALINDIA
2017-01-02,141.89071655273438,144.30034783478257,137.62750207752742,139.04084282268983,7930435,COALINDIA
2017-01-09,145.9685516357422,147.9611325569835,138.6006180481645,141.72851558321614,16836196,COALINDIA
2017-01-16,140.73220825195312,147.82210282484036,140.15296803712224,147.82210282484036,17525691,COALINDIA
2017-01-23,147.2428741455078,148.47086066883247,140.199306924705,140.82488923405396,12566679,COALINDIA
2017-01-30,151.1353759765625,151.48292015593907,140.40784846812798,146.7099857491446,29617047,COALINDIA
2017-02-06,150.3707275390625,152.45599186549018,143.90640247049518,151.06581564787172,16509917,COALINDIA
2017-02-13,146.54776000976562,149.5829727817842,144.11495134557188,147.35869623116352,15839501,COALINDIA
2017-02-20,151.85360717773438,153.84618768691666,145.55147135982872,146.54776161441987,17456978,COALINDIA
2017-02-27,148.8647003173828,153.98517695959615,147.52086616229366,152.91938087077455,21408874,COALINDIA
2017-03-06,146.5709228515625,151.94627430680475,146.08436677904365,150.60243997839552,22728237,COALINDIA
2017-03-13,134.0361785888672,146.57093051503844,133.54962249090872,146.57093051503844,33046417,COALINDIA
2017-03-20,146.71871948242188,147.77779064214374,141.89130263513798,142.85186428740562,39681700,COALINDIA
2017-03-27,144.1572265625,145.5611185294834,142.35926651445246,144.55130967629788,30333798,COALINDIA
2017-04-03,139.84706115722656,146.201503827723,137.97521495537782,144.15724717847706,31577675,COALINDIA
2017-04-10,143.36907958984375,143.76316271524732,140.265752020053,140.33963790833675,17859941,COALINDIA
2017-04-17,136.4481658935547,143.34446308673074,136.00483550911176,143.34446308673074,17781957,COALINDIA
2017-04-24,136.2757110595703,138.27071968870683,134.52701371125,137.65497906849123,14200023,COALINDIA
2017-05-01,137.18704223632812,140.11797428642745,134.89648960050883,136.27574289894764,12080832,COALINDIA
2017-05-08,136.25112915039062,138.41853379038352,134.84723710006224,138.41853379038352,13155489,COALINDIA
2017-05-15,136.07872009277344,139.7239027104311,135.21668295191424,136.571312744693,12805873,COALINDIA
