Price,Close,High,Low,Open,Volume,symbol
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,
Date,,,,,,
2014-12-29,802.5787353515625,810.1791616320527,789.5755661115993,794.2915225537239,391084,DIVISLAB
2015-01-05,779.3881225585938,808.4163064318469,748.5971980515793,802.5099320396976,1497378,DIVISLAB
2015-01-12,783.9209594726562,796.6722834053179,769.6586829909996,784.3101272835112,985606,DIVISLAB
2015-01-19,768.4912109375,791.1780816418376,753.8397649811697,787.9730778388904,1385774,DIVISLAB
2015-01-26,797.7483520507812,819.5652826239369,762.5849142414157,768.4912338560396,2190538,DIVISLAB
2015-02-02,734.6097412109375,795.7566574713546,727.9937200111932,787.5152191316052,2224420,DIVISLAB
2015-02-09,756.8387451171875,766.8200648985376,719.7522730334052,723.575373483629,1148542,DIVISLAB
2015-02-16,774.7180786132812,777.900167004851,743.8355458059904,765.0801524809335,749546,DIVISLAB
2015-02-23,777.99169921875,806.7451820946869,762.0125118910568,776.5265770900052,2494034,DIVISLAB
2015-03-02,811.6213989257812,828.7223714908099,785.5005968492562,798.96162334335,2515964,DIVISLAB
2015-03-09,811.9647827148438,837.4216573477977,795.7795256659755,812.2394861317622,1924826,DIVISLAB
2015-03-16,827.0282592773438,849.1656645057177,799.2134082598209,820.0230151832676,1422314,DIVISLAB
2015-03-23,821.5111694335938,839.711012813828,808.1646064432556,820.7099184671683,941040,DIVISLAB
2015-03-30,825.2196655273438,840.1687279133397,802.5328541200902,825.9751417742042,666614,DIVISLAB
2015-04-06,887.442626953125,901.5217502750951,820.0460004316028,826.8451756381933,1855294,DIVISLAB
2015-04-13,866.9534912109375,896.691324283257,851.6152593886158,892.7995341193844,1386424,DIVISLAB
2015-04-20,813.200927734375,869.3114028038017,803.5401428925777,865.0762197144819,1505650,DIVISLAB
2015-04-27,789.0947265625,812.3310017707339,773.7794108751764,809.4923067617231,1143688,DIVISLAB
2015-05-04,788.75146484375,826.4331772195688,766.728519886592,792.093848526235,1583708,DIVISLAB
2015-05-11,821.8546142578125,826.1584880398924,782.9367077330693,788.9346327369509,1488330,DIVISLAB
2015-05-18,848.3873901367188,858.3916254443668,796.6723860535415,823.6859899484604,3178810,DIVISLAB
2015-05-25,833.2550659179688,866.4268270200166,815.9480261050963,858.483008757148,2136242,DIVISLAB
2015-06-01,820.5266723632812,842.4122900955845,803.7233191903603,834.2166270925256,1335166,DIVISLAB
2015-06-08,807.79833984375,826.9138982834143,797.6567808946003,819.5652600478817,1361788,DIVISLAB
2015-06-15,836.0939331054688,858.2771721602256,803.5402618792946,814.3914669910752,1156332,DIVISLAB
2015-06-22,838.5892944335938,844.289600453424,791.0865579655662,841.542454248044,1344718,DIVISLAB
2015-06-29,851.2031860351562,868.5789182056849,808.9887310728561,829.1802432108689,1122518,DIVISLAB
2015-07-06,859.1470336914062,880.4374161189795,838.978436130537,839.0471259616953,1041120,DIVISLAB
2015-07-13,904.2689208984375,909.1222011438276,852.5080876521973,862.8098854852175,1125538,DIVISLAB
2015-07-20,895.4551391601562,915.6008766639511,883.5050651372073,908.8474760234744,1165560,DIVISLAB
2015-07-27,898.133544921875,905.6424214752649,869.9295251784647,895.5695532889879,1346698,DIVISLAB
2015-08-03,902.1398315429688,926.314738410009,888.3354118799948,900.1481618949679,1427850,DIVISLAB
2015-08-10,1009.592529296875,1034.1276465344265,950.416956005477,975.8539061662076,3909398,DIVISLAB
2015-08-17,1128.4293212890625,1149.1488961553414,1004.8058329260882,1009.6156838269212,3878824,DIVISLAB
2015-08-24,1039.5618896484375,1123.3882015153174,950.8794328182348,1100.7261916864782,4142198,DIVISLAB
2015-08-31,1006.7249145507812,1116.9131359320716,985.2422807506692,1040.1398106464717,3568486,DIVISLAB
2015-09-07,990.4221801757812,1022.1027402234306,927.9166551554749,1008.2280423923432,3614950,DIVISLAB
2015-09-14,1029.2022705078125,1044.7650154129979,986.5375637030984,996.666050559987,2962524,DIVISLAB
2015-09-21,1037.2724609375,1051.7021244958232,985.1035730765626,1024.3458896855143,3094791,DIVISLAB
2015-09-28,1041.481201171875,1051.7022754874301,1012.3443307428038,1045.227415392081,1418790,DIVISLAB
2015-10-05,1013.2232055664062,1073.346910965304,996.0185986040125,1049.8523942730594,1927094,DIVISLAB
2015-10-12,989.4048461914062,1021.085410122229,973.0789271598651,1015.6280057238896,1461112,DIVISLAB
2015-10-19,1008.2281494140625,1030.7976828641984,987.462394620984,991.902230650665,1048285,DIVISLAB
2015-10-26,1067.2882080078125,1078.8967527992427,993.9835390523297,1010.0782145033097,2244525,DIVISLAB
2015-11-02,1037.2261962890625,1113.9533473338877,1017.4778978541382,1072.0517123754055,2028323,DIVISLAB
2015-11-09,1059.4256591796875,1071.1266769813872,1009.1530264133795,1026.5426929318228,814256,DIVISLAB
2015-11-16,1062.848388671875,1079.9605198714542,1024.8779118450639,1059.1946496681853,1147859,DIVISLAB
2015-11-23,1059.7958984375,1085.8341095786207,1037.087592913182,1062.848377785255,1561824,DIVISLAB
2015-11-30,1045.0885009765625,1079.4515263030007,1031.5838172317237,1060.9519285942947,1408438,DIVISLAB
2015-12-07,1041.4351806640625,1063.6347044174659,982.1901564821203,1046.1525568791374,1111975,DIVISLAB
2015-12-14,1061.969482421875,1065.9931227143402,1029.5027080131438,1045.2273675245754,1633594,DIVISLAB
2015-12-21,1079.1279296875,1091.0138999959925,1070.2018501868279,1072.0518101698647,894008,DIVISLAB
2015-12-28,1075.2891845703125,1096.6561986876432,1059.194510967129,1079.1278739192537,893683,DIVISLAB
2016-01-04,1044.949951171875,1085.6490746903528,1031.3527891614265,1073.9018728398353,1610502,DIVISLAB
2016-01-11,996.2958984375,1043.3774012724734,979.5537836414444,1043.3774012724734,1203760,DIVISLAB
2016-01-18,1000.6895141601562,1009.1531030977098,958.279206974544,997.0358886036191,1755771,DIVISLAB
