Price,Close,High,Low,Open,Volume,symbol
Ticker,DMART.NS,DMART.NS,DMART.NS,DMART.NS,DMART.NS,
Date,,,,,,
2017-03-20,616.9000244140625,657.4500122070312,558.2999877929688,600.0,111101250,DMART
2017-03-27,637.8499755859375,652.2999877929688,602.3499755859375,615.0,12323070,DMART
2017-04-03,751.2000122070312,761.3499755859375,628.2999877929688,638.0,23484374,DMART
2017-04-10,783.25,806.9000244140625,755.0,769.0,27315307,DMART
2017-04-17,743.2000122070312,789.7000122070312,722.0,785.9000244140625,14044635,DMART
2017-04-24,736.5,753.9500122070312,721.1500244140625,748.0,5981031,DMART
2017-05-01,808.9000244140625,814.4000244140625,736.5,736.5,9832698,DMART
2017-05-08,751.7999877929688,824.5,736.7000122070312,823.6500244140625,8598872,DMART
2017-05-15,722.9000244140625,761.4500122070312,713.6500244140625,755.5,3061498,DMART
2017-05-22,714.9000244140625,734.5,691.5499877929688,729.4000244140625,3771206,DMART
2017-05-29,779.6500244140625,794.5999755859375,710.0,715.0,4399961,DMART
2017-06-05,802.3499755859375,811.0,768.0499877929688,782.7000122070312,5414543,DMART
2017-06-12,800.0999755859375,823.0,792.0,804.0,3253531,DMART
2017-06-19,801.5999755859375,838.7999877929688,789.7999877929688,804.7999877929688,5002770,DMART
2017-06-26,815.0999755859375,826.4500122070312,794.7000122070312,801.5999755859375,2124562,DMART
2017-07-03,895.4500122070312,910.0,808.0,811.5999755859375,8504924,DMART
2017-07-10,891.3499755859375,954.9000244140625,872.5,901.0499877929688,5501117,DMART
2017-07-17,914.75,924.9500122070312,886.0499877929688,894.9000244140625,3137280,DMART
2017-07-24,898.5499877929688,964.0,888.0999755859375,937.0,6085754,DMART
2017-07-31,911.3499755859375,930.0,894.25,904.0,2435538,DMART
2017-08-07,890.0999755859375,933.0,860.0,921.0,2004822,DMART
2017-08-14,926.25,941.7999877929688,892.0,899.8499755859375,1579383,DMART
2017-08-21,994.5999755859375,1019.0,923.1500244140625,929.8499755859375,5344685,DMART
2017-08-28,1048.4000244140625,1068.199951171875,990.2000122070312,999.5,4625667,DMART
2017-09-04,1070.8499755859375,1103.0,1007.4000244140625,1045.0,4657616,DMART
2017-09-11,1087.75,1119.800048828125,1060.25,1079.949951171875,3680165,DMART
2017-09-18,1039.1500244140625,1099.0,1028.800048828125,1092.5,1649364,DMART
2017-09-25,1078.449951171875,1218.0,982.0499877929688,1042.0,13365019,DMART
2017-10-02,1105.25,1128.699951171875,1078.449951171875,1078.449951171875,4033561,DMART
2017-10-09,1229.9000244140625,1288.6500244140625,1105.050048828125,1108.5,11421983,DMART
2017-10-16,1167.4000244140625,1275.0,1132.1500244140625,1250.0,5912915,DMART
2017-10-23,1136.199951171875,1175.0,1070.699951171875,1170.0,5553764,DMART
2017-10-30,1129.1500244140625,1168.0,1122.4000244140625,1144.0,2010567,DMART
2017-11-06,1159.6500244140625,1170.0,1078.0,1129.0,2723057,DMART
2017-11-13,1106.050048828125,1179.949951171875,1093.050048828125,1166.0,2540926,DMART
2017-11-20,1149.9000244140625,1163.0,1103.3499755859375,1110.0,2294847,DMART
2017-11-27,1114.4000244140625,1157.699951171875,1110.0,1140.0999755859375,1495432,DMART
2017-12-04,1132.550048828125,1178.0,1093.0,1119.800048828125,5695786,DMART
2017-12-11,1121.800048828125,1143.9000244140625,1096.25,1138.0,2054663,DMART
2017-12-18,1151.0999755859375,1171.5,1083.0,1109.0,2021486,DMART
2017-12-25,1181.3499755859375,1194.449951171875,1140.199951171875,1151.0999755859375,1771183,DMART
2018-01-01,1243.4000244140625,1268.0,1155.5999755859375,1188.300048828125,3169944,DMART
2018-01-08,1234.5999755859375,1283.9000244140625,1212.699951171875,1250.0,2779496,DMART
2018-01-15,1144.3499755859375,1245.0,1126.0,1236.9000244140625,1924264,DMART
2018-01-22,1159.300048828125,1190.0,1130.4000244140625,1149.0,1738979,DMART
2018-01-29,1135.0999755859375,1263.800048828125,1108.0,1200.0,5902641,DMART
2018-02-05,1177.800048828125,1195.0,1060.0999755859375,1122.050048828125,2480674,DMART
2018-02-12,1173.5,1208.25,1170.0999755859375,1189.0,1137797,DMART
2018-02-19,1300.25,1306.0,1162.0,1179.0,4012039,DMART
2018-02-26,1314.25,1387.0,1286.0,1312.0,5147317,DMART
2018-03-05,1306.550048828125,1365.0999755859375,1270.5999755859375,1309.5,3896955,DMART
2018-03-12,1365.800048828125,1377.8499755859375,1308.0999755859375,1316.0999755859375,3606397,DMART
2018-03-19,1281.0999755859375,1385.0,1262.0,1368.0,3126017,DMART
2018-03-26,1324.800048828125,1366.0,1282.5,1288.0,1941944,DMART
2018-04-02,1419.8499755859375,1424.0,1326.3499755859375,1328.800048828125,4583366,DMART
2018-04-09,1469.0999755859375,1514.0,1412.0,1412.0,4137740,DMART
2018-04-16,1475.4000244140625,1518.300048828125,1460.0,1461.050048828125,2337500,DMART
2018-04-23,1483.0,1499.9000244140625,1466.0999755859375,1475.0,2635525,DMART
2018-04-30,1486.800048828125,1534.5999755859375,1475.0999755859375,1493.0,2673943,DMART
2018-05-07,1453.9000244140625,1495.949951171875,1401.699951171875,1460.0,4308885,DMART
2018-05-14,1417.199951171875,1518.800048828125,1375.949951171875,1461.199951171875,8831086,DMART
2018-05-21,1497.550048828125,1506.0,1333.0999755859375,1414.0,11373258,DMART
2018-05-28,1531.0999755859375,1611.0,1490.0,1507.0,20850523,DMART
2018-06-04,1593.550048828125,1599.0,1426.1500244140625,1534.050048828125,5135370,DMART
