Price,Close,High,Low,Open,Volume,symbol
Ticker,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,
Date,,,,,,
2014-12-29,599.1990356445312,603.1516583950275,595.962496533705,600.7986580754392,808280,DRREDDY
2015-01-05,588.4850463867188,599.198996578885,559.877350744757,599.198996578885,9385055,DRREDDY
2015-01-12,611.1776733398438,612.888951230107,581.5748988572067,586.476111809706,10109405,DRREDDY
2015-01-19,623.044921875,630.5130809142213,604.8907970146388,610.0989359572717,8324060,DRREDDY
2015-01-26,601.4031372070312,628.6994593719094,590.0288465537741,623.0448684586598,13482055,DRREDDY
2015-02-02,566.25732421875,592.2423312840455,563.5974554616572,591.4518295060935,8951545,DRREDDY
2015-02-09,621.9940185546875,626.6534725080958,559.3194130204147,564.1555179740544,7961600,DRREDDY
2015-02-16,633.1451416015625,637.0605271875108,616.0697667828616,623.4914364713738,3413975,DRREDDY
2015-02-23,609.7361450195312,636.8836869414098,595.4044267267378,632.828775149336,9844145,DRREDDY
2015-03-02,640.1387939453125,647.8208407027129,619.7897598241409,625.5373308371094,6218870,DRREDDY
2015-03-09,628.0577392578125,656.9630499153047,624.7003489528371,642.0732799204195,6641290,DRREDDY
2015-03-16,637.3674926757812,647.3001957645706,613.8470792735093,630.5596734603145,6642780,DRREDDY
2015-03-23,635.2840576171875,664.9705595714207,623.3982628858838,637.9997256867058,9436810,DRREDDY
2015-03-30,657.279296875,663.4453929344348,627.397464206803,643.1707745590514,4224005,DRREDDY
2015-04-06,706.3382568359375,708.2727326393976,656.4143175239685,656.6003346373798,8194835,DRREDDY
2015-04-13,678.3909301757812,708.2541426146745,673.3408803846312,703.1018032745596,5245695,DRREDDY
2015-04-20,648.0720825195312,691.1882105787626,642.092003243696,678.9211265826698,6938895,DRREDDY
2015-04-27,615.7256469726562,653.7824152167861,609.4479516419449,651.9502854560978,9283965,DRREDDY
2015-05-04,623.2030639648438,636.1397404350494,604.5280685562699,619.3992209499164,8319860,DRREDDY
2015-05-11,650.3599243164062,658.4418781662888,621.0268316548061,628.6995704959176,11585600,DRREDDY
2015-05-18,677.553955078125,686.8542437118283,650.0901754958599,651.0202043592301,7069865,DRREDDY
2015-05-25,657.5769653320312,681.4880303476344,649.1602145903074,675.2010254907782,8901375,DRREDDY
2015-06-01,635.3214111328125,664.4127457375874,632.2337080158336,656.2284450591058,3984540,DRREDDY
2015-06-08,617.0834350585938,641.3478553265663,613.0750130914697,637.0697454352647,4620405,DRREDDY
2015-06-15,629.5830688476562,637.3860248632986,607.5971722502941,619.3434416797866,8567505,DRREDDY
2015-06-22,656.618896484375,658.4603351893488,632.4195309728209,632.6055480701144,6749280,DRREDDY
2015-06-29,667.3421020507812,671.1273257833609,637.6276728548878,650.8340921380014,5843445,DRREDDY
