Price,Close,High,Low,Open,Volume,symbol
Ticker,GODREJCP.NS,GODREJCP.NS,GODREJCP.NS,GODREJCP.NS,GODREJCP.NS,
Date,,,,,,
2014-12-29,294.50628662109375,302.03515196198964,292.6544351140419,294.4759356898681,181959,GODREJCP
2015-01-05,310.7327575683594,318.45895834344424,288.1765159993972,295.9937973478284,2053806,GODREJCP
2015-01-12,341.6527099609375,346.4493233216037,311.17293334174207,312.3872760409324,2571897,GODREJCP
2015-01-19,334.0025329589844,344.56724313329624,320.3109260557326,344.4609870672826,1662138,GODREJCP
2015-01-26,322.1628112792969,341.5162592465104,318.79302333921055,334.0025676827687,1745544,GODREJCP
2015-02-02,340.78753662109375,345.0528982635851,310.3381342211827,321.9501994048073,3606657,GODREJCP
2015-02-09,357.57562255859375,365.4839552343198,316.33383511283114,338.4953993925186,2693433,GODREJCP
2015-02-16,335.517822265625,361.8165379144461,334.575848225597,358.85394179008995,1274406,GODREJCP
2015-02-23,348.3708801269531,351.5158007226897,331.8107380939319,343.66112159728664,2495715,GODREJCP
2015-03-02,366.1311950683594,372.8920080157347,335.76080988583635,346.3957580983655,2586846,GODREJCP
2015-03-09,341.6404724121094,370.0965930835688,336.24703790243643,367.3618891937887,1735692,GODREJCP
2015-03-16,333.0414123535156,350.34601723661666,324.76132613606416,341.83803899316973,2925972,GODREJCP
2015-03-23,321.1454162597656,343.78269901209313,319.04882085028925,341.8380223395956,4040394,GODREJCP
2015-03-30,327.8454895019531,330.89924846060813,311.46764049311776,322.1481883920942,2141787,GODREJCP
2015-04-06,363.5941162109375,368.7748483815536,323.10531072709034,323.6674462199548,2887728,GODREJCP
2015-04-13,355.481201171875,376.17378153553784,350.95373859758024,366.7238565031254,1781856,GODREJCP
2015-04-20,342.1722717285156,358.55011890018756,326.8275331876203,355.5115493761593,2865027,GODREJCP
2015-04-27,319.58062744140625,347.5809435887843,309.93318805022494,342.55212939381653,2912595,GODREJCP
2015-05-04,328.5898742675781,334.08966025588705,310.2369743673197,322.6950606564366,4802016,GODREJCP
2015-05-11,355.1387023925781,357.1489326693415,328.9753977902038,331.9907432053488,1866891,GODREJCP
2015-05-18,344.0824279785156,371.64677962392335,338.1126674805423,355.13860790407057,1599813,GODREJCP
2015-05-25,319.82275390625,350.174018708335,315.8479976154771,350.174018708335,4356993,GODREJCP
2015-06-01,341.5391845703125,345.2855066958282,319.82273545017114,326.5082483200754,2449287,GODREJCP
2015-06-08,342.51385498046875,364.2759801110265,338.24973618002866,342.5899810370821,1489890,GODREJCP
2015-06-15,341.5697021484375,354.68178926776454,334.549150173067,338.386851891166,2464812,GODREJCP
2015-06-22,365.2201843261719,366.9562766451613,337.6253539832806,337.6253539832806,1843698,GODREJCP
2015-06-29,372.36248779296875,384.62176464848795,351.818661693541,351.818661693541,2514849,GODREJCP
2015-07-06,356.1437683105469,374.93628173761005,347.11301429796043,372.19507422178265,1386915,GODREJCP
2015-07-13,377.63177490234375,379.2003621496466,355.6259893435015,356.3265164150144,1511802,GODREJCP
2015-07-20,374.3270568847656,379.2155485579296,367.93090685240185,379.2003233472813,1988262,GODREJCP
2015-07-27,419.1307373046875,425.8009993159326,361.8394758135393,374.631780514018,5501280,GODREJCP
2015-08-03,427.0343933105469,444.3801467389179,403.87118728624716,419.1305849282122,3610476,GODREJCP
2015-08-10,393.52130126953125,435.78282270916765,390.1836683488874,432.4908997015194,1762281,GODREJCP
2015-08-17,398.32196044921875,411.9468334895526,384.6970874088849,393.81080007168504,1774482,GODREJCP
2015-08-24,398.5048522949219,402.55880222778654,366.37818090428544,393.20121910655337,3745608,GODREJCP
2015-08-31,372.23052978515625,429.73240066241624,371.25513381640167,402.3759384952264,7759434,GODREJCP
2015-09-07,372.7944641113281,380.68899729702775,349.58339575075036,380.68899729702775,4881225,GODREJCP
2015-09-14,362.2176513671875,392.4392752017412,356.92925369332164,371.92576290637413,2020578,GODREJCP
2015-09-21,357.9960021972656,369.97492892477106,352.0522626971833,362.2328197753906,2078880,GODREJCP
2015-09-28,374.5776062011719,379.92697871333837,350.68072103086786,359.1543583745338,2180919,GODREJCP
2015-10-05,382.8530578613281,409.95044308969636,376.1320816485994,376.1320816485994,2500299,GODREJCP
2015-10-12,367.4144592285156,387.18120109625147,365.7989853542566,383.7521212954406,1524030,GODREJCP
2015-10-19,382.7158203125,390.7627451897826,365.768551533049,368.206999241294,2618349,GODREJCP
2015-10-26,384.6665954589844,402.95502357757204,381.8166468834427,388.6290975199873,4386132,GODREJCP
2015-11-02,397.44061279296875,403.73975045439414,375.81306055314906,390.36363762928886,2623629,GODREJCP
2015-11-09,383.0730895996094,417.2989161739881,381.30382491413224,390.7601693120459,2112543,GODREJCP
2015-11-16,372.47283935546875,384.32377387411043,366.0669348432359,383.07309541702983,2350662,GODREJCP
2015-11-23,391.6752624511719,396.23565961226,370.93234508847775,374.8978859809267,2551263,GODREJCP
2015-11-30,367.8055419921875,395.33567861211895,366.4328486636732,393.9782337080303,3615930,GODREJCP
2015-12-07,384.7966003417969,391.06524127591126,369.4071637888865,369.4071637888865,4609128,GODREJCP
2015-12-14,398.8590393066406,408.69667751359765,381.3648188039069,384.00343928285264,4871496,GODREJCP
2015-12-21,390.0889892578125,405.60043716099824,388.0451974101393,398.9962486860951,1238928,GODREJCP
2015-12-28,409.38299560546875,419.40364217905136,389.2806528931871,389.84498434895437,2877531,GODREJCP
2016-01-04,379.5649719238281,411.8080182625744,376.11799001315126,404.97504814184225,2582595,GODREJCP
2016-01-11,378.40594482421875,395.96116123484967,375.1877440191544,379.5651048170594,3348699,GODREJCP
2016-01-18,344.85113525390625,383.8661347262875,342.4107725333399,378.4363542041733,3459903,GODREJCP
2016-01-25,373.6624450683594,374.48605560310153,341.28210375668715,345.30869379768694,7296345,GODREJCP
2016-02-01,380.0530700683594,389.47891571185863,369.971402442032,376.7281031642345,4388202,GODREJCP
2016-02-08,369.18695068359375,385.74890324949416,347.72506342089275,380.77269268829576,2275341,GODREJCP
2016-02-15,366.30194091796875,384.51247379552643,353.2202538051671,375.3232312417601,2081712,GODREJCP
2016-02-22,366.2256164550781,375.5064237644521,352.8081364154686,365.76768179195074,2141508,GODREJCP
2016-02-29,381.50531005859375,390.46558436909237,355.2351411369605,366.3476857410999,4095543,GODREJCP
2016-03-07,396.9988708496094,398.40319650269123,376.62077631585106,381.50539457442704,2894217,GODREJCP
2016-03-14,405.1043395996094,412.14125690560945,380.97117374411295,401.70035065402425,6789579,GODREJCP
2016-03-21,396.92254638671875,412.14124534675295,391.07624836236334,401.76138244353643,2812209,GODREJCP
2016-03-28,422.8874816894531,430.4434050792731,395.3961358705484,395.3961358705484,5073456,GODREJCP
2016-04-04,420.27716064453125,437.78553084392445,409.24094662233955,427.08513743258294,4032978,GODREJCP
2016-04-11,419.6971130371094,422.5210527379515,407.57710539147996,420.27716173915894,3224676,GODREJCP
2016-04-18,417.33111572265625,425.8792387929103,411.2253295011113,419.4681534777483,2091048,GODREJCP
2016-04-25,403.4862365722656,419.6971354726972,399.50222720446607,413.667652851329,4361553,GODREJCP
2016-05-02,404.1274108886719,425.29926238006175,397.5484281211817,403.2878731761476,3622341,GODREJCP
2016-05-09,425.0855407714844,441.60171247392555,406.03546730601784,406.03546730601784,4254951,GODREJCP
2016-05-16,419.10150146484375,431.87340924283683,413.0291163937604,429.80849303998724,1689339,GODREJCP
2016-05-23,466.96173095703125,468.0477109417945,414.57402848483196,422.1606804573048,4586583,GODREJCP
2016-05-30,480.4219665527344,482.1197644491888,447.5209567161195,467.1606021783468,6344163,GODREJCP
2016-06-06,460.5834045410156,481.01845225882136,457.23365704782697,479.9783201350281,3645300,GODREJCP
2016-06-13,468.6136779785156,469.57729446747044,447.5974224911779,455.85708842126695,3280197,GODREJCP
2016-06-20,462.3882751464844,484.5364111851902,451.0082702807961,466.4263278372682,3500277,GODREJCP
2016-06-27,498.2107849121094,503.31958231048577,462.32714764920166,471.10685165908615,2822808,GODREJCP
2016-07-04,503.68670654296875,511.48750307680933,493.4386386355966,501.69830555378076,2080104,GODREJCP
2016-07-11,489.17095947265625,510.98258744259493,481.8443276974574,506.5927363564067,2941899,GODREJCP
2016-07-18,504.9256286621094,507.20468836093306,474.578963198123,492.52083785122636,3149016,GODREJCP
2016-07-25,486.64715576171875,516.9631738815458,483.3433126139601,507.8163534453093,3446577,GODREJCP
2016-08-01,486.2801513671875,493.43857322559074,476.00150093198613,489.7676106374634,2137782,GODREJCP
