Price,Close,High,Low,Open,Volume,symbol
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,
Date,,,,,,
2014-12-29,189.4969482421875,191.74382815812206,189.0903686112568,189.65744884764501,10295009,RELIANCE
2015-01-05,184.09375,190.64179181980734,178.0378947957469,189.3792565860089,82717247,RELIANCE
2015-01-12,186.10523986816406,187.2393717003376,177.86669974258348,184.1365506506952,67492913,RELIANCE
2015-01-19,189.7858123779297,195.02850766913184,183.76205519411232,186.21221745371327,85587700,RELIANCE
2015-01-26,195.85240173339844,199.97166511347717,188.41632090139407,189.7858470933921,95102456,RELIANCE
2015-02-02,194.7075653076172,201.96174714884293,193.23104827058498,196.02358173585444,71879424,RELIANCE
2015-02-09,196.3338623046875,197.040016389926,184.30774468837723,192.84585966106206,48375014,RELIANCE
2015-02-16,186.83277893066406,197.7675597301529,186.44759752732216,196.59061734685795,50369570,RELIANCE
2015-02-23,183.07730102539062,187.61385699443255,179.02223256539662,186.15873823322016,89443925,RELIANCE
2015-03-02,189.36854553222656,194.65405178425505,183.0772965056963,185.95543669439698,60409185,RELIANCE
2015-03-09,181.91104125976562,190.8236368136874,181.2476836585274,189.4006155549318,65653861,RELIANCE
2015-03-16,182.76702880859375,187.60314497971999,179.8139949145761,182.2106619671189,66520286,RELIANCE
2015-03-23,173.69393920898438,184.88549873605965,171.50055489934067,183.28059279440285,76703323,RELIANCE
2015-03-30,178.90452575683594,179.5357861477442,170.43060637331493,174.74246681316848,52154514,RELIANCE
2015-04-06,193.51991271972656,194.4721600924163,175.76962629793448,178.8938456080534,111030394,RELIANCE
2015-04-13,198.33462524414062,202.06870646427583,192.32156715251406,194.04416295103033,86544586,RELIANCE
2015-04-20,188.0739288330078,200.60291821211317,185.52747442207712,200.5708209475529,96144154,RELIANCE
2015-04-27,184.5324249267578,189.91422324719275,181.33331195118822,188.32001630333536,76920405,RELIANCE
2015-05-04,190.38497924804688,192.97422968456408,184.02953596969004,185.35626559070084,89203443,RELIANCE
2015-05-11,189.37091064453125,194.89635225570828,185.74145716153052,193.46623574413192,68227070,RELIANCE
2015-05-18,195.84976196289062,198.35246222541292,188.99172333547656,189.576767708039,52178038,RELIANCE
2015-05-25,190.03179931640625,196.7489971941345,188.94836723918831,195.0155174421605,80022207,RELIANCE
2015-06-01,196.69485473632812,199.08920191380878,190.24850314544628,190.68187314287576,84317947,RELIANCE
2015-06-08,192.816162109375,197.18234826764183,189.30588185837232,196.4889506474024,69729949,RELIANCE
2015-06-15,215.95802307128906,218.07068881234696,192.8486776296814,193.91042744350054,148098243,RELIANCE
2015-06-22,216.8356170654297,219.7391712625162,213.433675110158,216.0230465670675,102146603,RELIANCE
2015-06-29,218.24404907226562,220.9634416159801,210.61677532093657,214.0620527901252,87940374,RELIANCE
2015-07-06,217.073974609375,220.77926562235118,213.03281859797474,215.83888242653967,71079826,RELIANCE
2015-07-13,221.38597106933594,223.4336337330258,215.6330175057477,217.07396798472755,58385523,RELIANCE
2015-07-20,222.11184692382812,231.3859143098966,217.27978880550612,222.7077251574672,63323711,RELIANCE
2015-07-27,217.0847930908203,223.16277750884757,214.51708944918366,222.07935983759242,76627739,RELIANCE
2015-08-03,213.29281616210938,219.6849828634968,211.73267862559467,216.90060167024623,53556594,RELIANCE
2015-08-10,209.5225067138672,214.25704533672413,201.3860264484516,213.32531662496223,49781399,RELIANCE
2015-08-17,196.7381591796875,209.3166631465638,194.3654656895752,209.3166631465638,65423670,RELIANCE
2015-08-24,189.0350341796875,191.33187582102073,177.24741931356363,190.68182821028998,141863250,RELIANCE
2015-08-31,181.1260986328125,189.13257308561364,178.785906564053,189.13257308561364,89866934,RELIANCE
2015-09-07,186.55401611328125,190.4001471039216,178.78588799693614,181.63528695685073,62185034,RELIANCE
2015-09-14,194.01876831054688,194.90716141754305,184.5930127661559,186.72734614327103,67160124,RELIANCE
2015-09-21,181.44027709960938,192.45864352137824,180.87690053215917,190.6818427262611,72775953,RELIANCE
2015-09-28,187.36656188964844,189.37088865770178,179.00257046540318,181.97114201647972,53433523,RELIANCE
2015-10-05,192.2744903564453,198.92668555688707,186.7490484251431,186.95490675945712,59941919,RELIANCE
2015-10-12,198.2224884033203,198.2224884033203,191.31026473089062,192.4153503358878,44672956,RELIANCE
2015-10-19,207.07398986816406,211.2234844278298,203.89957409631947,203.89957409631947,78155622,RELIANCE
2015-10-26,205.35133361816406,208.66658952524463,201.49435448145007,208.42824403293716,61146041,RELIANCE
2015-11-02,206.36976623535156,211.2668277950353,202.16610237133034,205.6330329917687,47763397,RELIANCE
2015-11-09,202.1769256591797,209.09996711460423,198.15743808454164,202.27443063688872,42200260,RELIANCE
2015-11-16,205.16717529296875,206.45645132438898,197.17154919271087,200.64932840031466,58671384,RELIANCE
2015-11-23,212.14439392089844,215.0587963989896,205.0263274437261,205.8497318096049,60003385,RELIANCE
2015-11-30,209.197509765625,214.28958194100358,208.2874486786511,212.02524141522628,75279295,RELIANCE
2015-12-07,206.48895263671875,210.8334717830312,197.79992880856344,209.19749688306058,67938208,RELIANCE
2015-12-14,214.9287872314453,219.9341877630707,204.98298949140153,205.32968834630756,73765242,RELIANCE
2015-12-21,216.8031005859375,218.24405102678202,213.216982547423,214.0620547071891,48732390,RELIANCE
2015-12-28,220.010009765625,220.9525868159096,216.48889541735699,216.81391201092555,59851690,RELIANCE
2016-01-04,222.26353454589844,225.00459483378216,213.8020226248842,217.76734111293464,112930192,RELIANCE
2016-01-11,232.5668487548828,236.13131338078287,219.06744914663864,220.1400329148005,180782683,RELIANCE
2016-01-18,217.58316040039062,234.87453604477554,211.6351827948147,232.93521239141927,149309476,RELIANCE
2016-01-25,224.35452270507812,225.35126922652623,216.02303226661422,218.85074906336328,72602388,RELIANCE
2016-02-01,210.37841796875,225.7413034824687,208.3199216058435,225.3404352038623,79583754,RELIANCE
2016-02-08,196.434814453125,213.39034039327979,192.43699420019152,210.4217683945749,94999245,RELIANCE
2016-02-15,204.62545776367188,209.90171996595086,198.56914121457348,198.91584007119818,72419190,RELIANCE
2016-02-22,205.9255828857422,209.81506441418284,203.867086296917,204.5713034851314,80123185,RELIANCE
2016-02-29,218.0707244873047,220.58425890750485,202.5994835209328,206.13143237523636,92459631,RELIANCE
2016-03-07,219.82583618164062,226.62971990085532,218.07070304763317,218.07070304763317,61103291,RELIANCE
2016-03-14,222.5777130126953,224.67954484075725,217.86484222922243,220.82256555085038,64295988,RELIANCE
2016-03-21,225.52200317382812,230.57278952518053,224.03196137441657,225.2480918705034,44847888,RELIANCE
2016-03-28,226.67242431640625,231.3945351950488,222.5529008210036,225.69732278400218,91609249,RELIANCE
2016-04-04,227.08872985839844,231.05485601013723,223.96622007308864,227.88852275786098,48083759,RELIANCE
2016-04-11,233.5967254638672,234.44035658486524,226.35469167280542,227.23119039898563,37511762,RELIANCE
2016-04-18,227.65846252441406,234.28695243589445,225.54392161353195,233.5419242003754,63839434,RELIANCE
2016-04-25,215.33273315429688,228.86360793162814,214.4891022203355,228.86360793162814,187518134,RELIANCE
2016-05-02,212.31979370117188,218.0170052108641,211.89250027816306,214.52198138822678,78152997,RELIANCE
2016-05-09,214.3357696533203,217.8527058325373,212.5499045788024,213.64553531060585,62369828,RELIANCE
2016-05-16,204.70529174804688,215.42043875411235,204.08079259062274,214.0837788603433,57393176,RELIANCE
2016-05-23,213.5797576904297,214.06183046897164,202.83174491788256,205.39549094961558,67480684,RELIANCE
2016-05-30,210.28196716308594,215.0698130210902,207.09372188033717,213.95228525469648,60906307,RELIANCE
2016-06-06,214.01800537109375,215.70526739680625,207.9811471318754,210.57776074505642,71722881,RELIANCE
2016-06-13,213.6235809326172,216.16541522751368,211.0269673024132,212.5279649718158,52174484,RELIANCE
2016-06-20,208.4851531982422,217.84174249408957,204.52998241472275,213.02101424690952,72303009,RELIANCE
2016-06-27,213.30587768554688,214.1933322424824,206.0857559374934,206.0857559374934,43660839,RELIANCE
2016-07-04,214.3905487060547,219.75907053619528,213.7550937066901,213.7550937066901,38333095,RELIANCE
2016-07-11,221.79689025878906,223.72518135753663,215.9462963879593,217.15147101101363,57700752,RELIANCE
2016-07-18,222.37759399414062,227.61464500510388,218.09371809623545,225.2590603232723,74632082,RELIANCE
2016-07-25,222.38858032226562,226.74913326367192,220.73418557089238,222.19136005018825,55029169,RELIANCE
2016-08-01,222.68435668945312,223.57181121755312,215.48614691114548,223.0678266818493,49857280,RELIANCE
2016-08-08,226.96823120117188,228.52402299687793,219.03596320428164,223.48417734513646,70853952,RELIANCE
2016-08-15,222.38858032226562,228.94036560352777,220.67940622512884,226.96825064672603,44781639,RELIANCE
2016-08-22,225.2371368408203,225.87259175882602,220.21920344460696,221.75306871788075,47324674,RELIANCE
2016-08-29,222.0489044189453,235.3387522561581,219.62758451940596,225.0947234050224,128405094,RELIANCE
2016-09-05,228.88552856445312,230.05783552295614,221.98314258280396,222.04887778115085,51914242,RELIANCE
2016-09-12,235.67835998535156,239.68832417292575,225.51103787817675,225.78493454272405,122985273,RELIANCE
2016-09-19,241.6494903564453,243.10666453937648,234.2431195329459,235.02100071190878,89000085,RELIANCE
2016-09-26,237.46426391601562,247.51108777528702,233.6515046980204,241.78099307990516,114868358,RELIANCE
2016-10-03,243.00807189941406,246.78794853770574,235.8317739812228,238.1873439777936,78420107,RELIANCE
2016-10-10,236.1385498046875,245.85669719439528,230.5180286622133,244.103699818225,48757361,RELIANCE
2016-10-17,233.19134521484375,240.59771661516265,231.92042067064696,236.6534871965664,91707484,RELIANCE
2016-10-24,231.16445922851562,235.33876201602294,228.63358054696224,234.46226330858326,50088355,RELIANCE
2016-10-31,220.3397216796875,231.38354232302547,219.1235766120815,231.16442499228123,36111658,RELIANCE
2016-11-07,219.50704956054688,225.46721656594156,203.78492741824257,222.19131003538163,69117678,RELIANCE
2016-11-14,216.38453674316406,219.5070464688064,213.5140119477635,219.5070464688064,61830361,RELIANCE
