Price,Close,High,Low,Open,Volume,symbol
Ticker,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,
Date,,,,,,
2017-10-02,684.0576171875,726.5197513006818,673.601599500134,721.6108340621637,43078384,SBILIFE
2017-10-09,677.1361083984375,690.1938172812586,667.6127962322274,681.455919949483,4367708,SBILIFE
2017-10-16,662.802001953125,676.8906308148081,652.0515208088937,673.5034658314316,2145239,SBILIFE
2017-10-23,650.1370239257812,661.5256881753,646.1116757565165,657.7949229848236,1865141,SBILIFE
2017-10-30,630.5504150390625,656.8131220881787,629.4213401124885,652.8859883238249,4672548,SBILIFE
2017-11-06,664.2256469726562,666.8273973424496,617.5418512809896,630.9432206715951,3231208,SBILIFE
2017-11-13,647.5352172851562,668.3981141420793,631.0903456449934,652.885948699004,4274740,SBILIFE
2017-11-20,643.75537109375,686.21750207052,643.0681107464599,645.326200524726,4885626,SBILIFE
2017-11-27,643.9517822265625,654.8004772532483,638.9446507288804,643.6081220685998,1170060,SBILIFE
2017-12-04,673.2089233398438,677.3324258126073,639.1410256558609,647.9770767017944,1258847,SBILIFE
2017-12-11,676.4486694335938,678.4122359631542,645.0316049606256,667.6126200505714,1300557,SBILIFE
2017-12-18,690.0465087890625,691.5683211522322,652.8860272950513,669.0363778496435,1784801,SBILIFE
2017-12-25,682.6830444335938,694.9062594118778,677.9704962279412,690.0464197309575,1373778,SBILIFE
2018-01-01,689.162841796875,692.0591146946288,667.7108394187946,681.3576520972678,1249887,SBILIFE
2018-01-08,688.9664916992188,706.8349613239587,679.3941036777476,679.3941036777476,1419781,SBILIFE
2018-01-15,698.5388793945312,711.4002177865151,679.0505031446232,688.7210455309398,1952516,SBILIFE
2018-01-22,669.6254272460938,708.8476902347417,649.1061879564422,691.2737415352213,1489270,SBILIFE
2018-01-29,705.2149658203125,719.8926388354394,641.8408627871374,669.5762423263138,4118817,SBILIFE
2018-02-05,696.9680786132812,706.8840672540509,652.8859787832554,703.3987480737787,1386515,SBILIFE
2018-02-12,676.6942749023438,704.9205504242043,660.9366617695842,696.0844989564914,1511328,SBILIFE
2018-02-19,663.3909912109375,692.1572300644162,650.3823624189467,687.2483135391367,1549952,SBILIFE
2018-02-26,677.4304809570312,685.9720077015837,661.9673938917077,667.612647899683,1124862,SBILIFE
2018-03-05,658.0894165039062,676.4487785001086,635.2138747308712,676.4487785001086,1336891,SBILIFE
2018-03-12,656.2731323242188,677.3323984509747,653.8677509853327,657.9912532915226,833096,SBILIFE
2018-03-19,652.3950805664062,678.4123411157061,646.0134883562006,654.3095702141288,1074597,SBILIFE
2018-03-26,665.89453125,698.0479347124954,646.9952024972355,648.1242772751614,1002285,SBILIFE
2018-04-02,667.26904296875,682.3393926353339,661.7219433614605,668.5944264527516,2749277,SBILIFE
2018-04-09,700.7354125976562,713.5852520788388,664.647491430721,665.1890440335568,3904646,SBILIFE
2018-04-16,705.1663818359375,713.8314036059854,691.233377327394,691.233377327394,1282887,SBILIFE
2018-04-23,747.2114868164062,762.7199289274723,701.1784919787975,701.1784919787975,5522122,SBILIFE
2018-04-30,691.3318481445312,751.1501236539849,689.3625222018333,744.4052063398674,1627463,SBILIFE
2018-05-07,687.5901489257812,707.9726846912235,680.4021211705639,693.202739948013,3311248,SBILIFE
2018-05-14,654.9977416992188,693.7442009170919,652.8806925260885,691.2333226622742,1865889,SBILIFE
2018-05-21,673.3616943359375,695.8612774669225,637.0768908225292,652.8314970870739,1222896,SBILIFE
2018-05-28,665.6322021484375,691.725772203073,660.2657766645588,671.294014518783,2531221,SBILIFE
2018-06-04,681.7313232421875,686.3100296893488,648.4005086806832,665.8290537356465,1570416,SBILIFE
2018-06-11,661.49658203125,718.7055375821512,657.8533169629283,677.9404659186605,6771775,SBILIFE
2018-06-18,674.6910400390625,681.8790672844888,656.7701630018108,666.3214052781699,1188039,SBILIFE
2018-06-25,664.0074462890625,688.1809701547243,647.9574519822521,675.4787938688787,949049,SBILIFE
2018-07-02,657.8041381835938,673.3618023455248,650.7145522075435,664.9429452923052,645324,SBILIFE
