Price,Close,High,Low,Open,Volume,symbol
Ticker,SHRIRAMFIN.NS,SHRIRAMFIN.NS,SHRIRAMFIN.NS,SHRIRAMFIN.NS,SHRIRAMFIN.NS,
Date,,,,,,
2014-12-29,185.9781036376953,187.97894791490143,184.27991050866763,187.64267178706197,1400559,SHRIRAMFIN
2015-01-05,178.411865234375,189.1054777453518,172.1066680605393,186.54136896761324,12415004,SHRIRAMFIN
2015-01-12,195.8982696533203,196.7053349681811,171.50135965949352,178.22690833853804,18327230,SHRIRAMFIN
2015-01-19,184.18740844726562,197.91593103883272,181.2702112791154,196.9239152184951,18711644,SHRIRAMFIN
2015-01-26,192.0731201171875,196.57923591648975,182.6994002478287,184.18741746840854,13528637,SHRIRAMFIN
2015-02-02,191.69482421875,202.60702613435365,190.0050306351003,191.67801172775808,10904926,SHRIRAMFIN
2015-02-09,211.85462951660156,213.87229942574234,190.16475369562127,191.69480874290065,10585092,SHRIRAMFIN
2015-02-16,204.17910766601562,215.96562428034227,202.102600574762,212.5271870045752,9059758,SHRIRAMFIN
2015-02-23,194.5867919921875,206.59189689214148,191.84613239375045,205.12067899051132,18371115,SHRIRAMFIN
2015-03-02,199.77386474609375,216.51205996971174,197.16771833504603,207.6511542727812,10378628,SHRIRAMFIN
2015-03-09,199.74862670898438,208.45820628658655,194.7044722615643,199.74862670898438,14035371,SHRIRAMFIN
2015-03-16,200.51373291015625,204.0866707784172,191.90502544242526,200.42124444906594,8825149,SHRIRAMFIN
2015-03-23,182.16131591796875,202.77510951237247,175.70479449406784,201.76628133129094,14259217,SHRIRAMFIN
2015-03-30,193.1576385498047,194.8726442512518,182.4471999158117,182.4471999158117,6553634,SHRIRAMFIN
2015-04-06,191.06431579589844,202.95172156031944,189.5090352563973,194.20010219499756,9307609,SHRIRAMFIN
2015-04-13,172.4261474609375,194.55318988940738,170.54300359753776,191.50987879150804,14976765,SHRIRAMFIN
2015-04-20,174.85572814941406,178.22690203148497,166.4571988424677,173.35088533625543,13516299,SHRIRAMFIN
2015-04-27,163.0692138671875,177.36940079692604,159.04228706277317,175.30970634176546,20048382,SHRIRAMFIN
2015-05-04,132.83795166015625,158.89102695873237,127.96191974871581,156.57071822192623,86645621,SHRIRAMFIN
2015-05-11,141.169189453125,142.24526793385076,132.62774574717676,134.41001471934612,25588920,SHRIRAMFIN
2015-05-18,138.65550231933594,144.93547424918643,137.02455912314235,140.50502105249063,17939491,SHRIRAMFIN
2015-05-25,138.4789581298828,142.91782436936467,137.8148054933677,138.62187088549024,19420268,SHRIRAMFIN
2015-06-01,138.80682373046875,140.49661717412368,134.84715987234154,139.76521463130055,21119668,SHRIRAMFIN
2015-06-08,137.00775146484375,140.88335350037895,130.41672785385438,138.8068461296327,14373294,SHRIRAMFIN
2015-06-15,148.81947326660156,155.29280848661983,134.87237410350303,137.53737097867986,41918509,SHRIRAMFIN
2015-06-22,148.50003051757812,153.84683750992588,143.25411164418654,149.30709597237808,28248607,SHRIRAMFIN
2015-06-29,152.4512481689453,157.20956379900477,142.62353981927123,146.28055197289197,25048750,SHRIRAMFIN
2015-07-06,157.9830322265625,162.2033095282984,149.81149062907215,149.81149062907215,17570866,SHRIRAMFIN
2015-07-13,151.08932495117188,160.90862091136165,147.84425149926327,159.39537852152662,15193411,SHRIRAMFIN
2015-07-20,147.90310668945312,153.0061116135863,146.28056332693575,151.99728332027274,7722301,SHRIRAMFIN
2015-07-27,150.90948486328125,152.02681973877839,142.20771987903274,148.13304927341676,12779358,SHRIRAMFIN
2015-08-03,152.0860595703125,156.2591898501756,147.62513817279373,152.3654065174501,12088922,SHRIRAMFIN
2015-08-10,146.85487365722656,153.55049219460392,138.71178884254826,152.02682952780629,9294052,SHRIRAMFIN
2015-08-17,143.7059783935547,149.7413336617179,140.17618233220125,146.94797006289366,9546491,SHRIRAMFIN
2015-08-24,138.5255584716797,142.00457035476492,133.74297596790458,140.3454828840971,17003181,SHRIRAMFIN
2015-08-31,145.09420776367188,148.11612111961708,136.95959343130622,138.62715172195482,17520823,SHRIRAMFIN
2015-09-07,148.82716369628906,152.28077696351437,135.57983552633738,143.9006853626225,12050358,SHRIRAMFIN
2015-09-14,153.804443359375,154.5662747731373,144.74717324534836,150.30850279733863,7981027,SHRIRAMFIN
2015-09-21,148.4039306640625,157.2580630003095,146.4401104492169,153.68593946189935,15515390,SHRIRAMFIN
2015-09-28,157.39346313476562,159.97521873085282,147.4727949422255,148.45470489510765,12746533,SHRIRAMFIN
2015-10-05,162.2522735595703,165.6720312323304,157.02106173046695,157.76596508507652,13240968,SHRIRAMFIN
2015-10-12,168.981689453125,172.49455713933875,160.9994429966314,162.4384383360159,7353483,SHRIRAMFIN
2015-10-19,160.36463928222656,165.55353754903632,153.71981702167147,163.28498446793256,15113888,SHRIRAMFIN
2015-10-26,159.70433044433594,161.91362767225735,152.70399384261998,160.59312909392418,16879828,SHRIRAMFIN
2015-11-02,157.8251495361328,163.36954890328488,152.06065825600786,160.74548010458,8549912,SHRIRAMFIN
2015-11-09,150.9821014404297,157.25532150070015,145.20191112087593,156.74529257055406,14258213,SHRIRAMFIN
2015-11-16,144.4878692626953,150.47207609207533,143.17882526675115,150.47207609207533,15829910,SHRIRAMFIN
2015-11-23,149.47756958007812,150.28510441649553,141.10479525856482,145.01492890906397,14474587,SHRIRAMFIN
2015-11-30,143.7058563232422,151.78112322596368,141.95479345906637,149.47754013828146,12540977,SHRIRAMFIN
2015-12-07,137.32211303710938,147.0464461055477,136.52308473870178,144.6748666451468,22604128,SHRIRAMFIN
2015-12-14,139.62574768066406,140.7477875529109,132.6640126956907,137.19466350943233,22035618,SHRIRAMFIN
2015-12-21,145.09141540527344,146.71496452149665,139.06470332387013,139.5747189621363,7481404,SHRIRAMFIN
2015-12-28,147.17396545410156,148.5850178739551,143.5953368401237,144.84489031698044,7438066,SHRIRAMFIN
2016-01-04,143.13632202148438,151.56010469544455,138.62267182111876,145.6354021749491,10811120,SHRIRAMFIN
2016-01-11,130.0373992919922,143.09384203442198,129.5443828511831,142.2948135528601,13556895,SHRIRAMFIN
2016-01-18,127.94635009765625,133.284536007431,125.28575673929714,130.73444405984873,13132645,SHRIRAMFIN
2016-01-25,143.52734375,146.0859279596783,125.3112289529337,128.6688415834655,14539727,SHRIRAMFIN
2016-02-01,143.04281616210938,144.36885920178628,133.28448441577376,144.15634940310937,14095335,SHRIRAMFIN
2016-02-08,133.73501586914062,147.9049913599299,127.16429019802564,144.4538764479101,13250250,SHRIRAMFIN
2016-02-15,140.45875549316406,144.13087338138772,132.45148474975363,138.38468126618,8554221,SHRIRAMFIN
2016-02-22,136.02162170410156,145.06592384966262,131.83947443346793,142.32882768167588,12346405,SHRIRAMFIN
2016-02-29,154.87522888183594,155.58075511707497,131.43993697950566,136.59961007959785,17809829,SHRIRAMFIN
2016-03-07,157.5358123779297,160.4514060309853,152.24862570292007,154.8752198526914,8936014,SHRIRAMFIN
2016-03-14,154.69676208496094,161.667003882023,151.01613714785074,157.76537611588674,9567720,SHRIRAMFIN
2016-03-21,154.1187286376953,159.7714190102682,153.00519507923073,154.53524210465045,5255424,SHRIRAMFIN
2016-03-28,157.49330139160156,164.05552006428255,151.91711543852742,151.91711543852742,12467163,SHRIRAMFIN
2016-04-04,160.8169708251953,162.84003452340446,154.1017438408638,157.26384664682723,9243017,SHRIRAMFIN
2016-04-11,167.6341552734375,170.8387617425346,159.49937169391453,159.97538888603714,5831616,SHRIRAMFIN
2016-04-18,162.27899169921875,171.48480510340053,161.53946703895326,167.62566953107552,9108544,SHRIRAMFIN
2016-04-25,160.28993225097656,169.81025096132421,157.25533049565556,162.42349704410455,13694878,SHRIRAMFIN
2016-05-02,178.6591033935547,191.68153839787902,163.6985871054885,163.6985871054885,44905373,SHRIRAMFIN
2016-05-09,181.90614318847656,191.0354533859402,176.21096212028564,179.1860598870878,17863034,SHRIRAMFIN
2016-05-16,182.34817504882812,195.00510416392368,179.96810199044344,182.43318431396477,16974990,SHRIRAMFIN
2016-05-23,202.99539184570312,207.37303654533986,183.24922627960294,185.3062882517552,22381057,SHRIRAMFIN
2016-05-30,199.1957550048828,207.37303175216195,195.19211924511876,202.33236543429837,15960578,SHRIRAMFIN
2016-06-06,201.40582275390625,208.2570556023321,192.92253450392894,199.19574162972245,20772632,SHRIRAMFIN
2016-06-13,194.06155395507812,202.98686019578386,193.12651870323853,199.7567480980222,10949642,SHRIRAMFIN
2016-06-20,194.97959899902344,197.84419539118457,186.33479894214136,192.80351637408117,12664569,SHRIRAMFIN
2016-06-27,208.53756713867188,211.65717824071803,192.56552942966553,193.63655832433682,24247076,SHRIRAMFIN
2016-07-04,205.8429718017578,214.54726287836573,203.8454005170119,208.8520681379097,8881019,SHRIRAMFIN
2016-07-11,216.16232299804688,222.67354556044552,207.4410325735068,209.75310889247405,14008154,SHRIRAMFIN
2016-07-18,200.25827026367188,217.35234672512755,196.35664336941338,216.08580724397868,19641917,SHRIRAMFIN
2016-07-25,218.6732177734375,225.81315623046265,200.72090629824206,202.41193872230411,28694303,SHRIRAMFIN
2016-08-01,221.9528350830078,226.22312957925706,209.66293190977987,218.80990015275898,16851773,SHRIRAMFIN
2016-08-08,221.3720703125,224.62604374585172,213.85634919272232,222.99478373892453,10624571,SHRIRAMFIN
2016-08-15,217.05911254882812,223.76347158545212,215.70970218428093,221.37211381598948,8861195,SHRIRAMFIN
2016-08-22,214.8897705078125,219.47606103576152,211.39666657548375,216.93097219993564,6689759,SHRIRAMFIN
2016-08-29,207.79257202148438,218.52809578493404,203.45395773837217,214.36882597911494,13941058,SHRIRAMFIN
2016-09-05,208.84303283691406,212.14823239271354,205.36700866331233,207.79253901202966,9751930,SHRIRAMFIN
2016-09-12,193.6237030029297,206.8701546219571,192.3511585480554,206.8701546219571,12604208,SHRIRAMFIN
2016-09-19,202.71084594726562,207.44232025388442,190.7369285280349,193.62365255348698,24961827,SHRIRAMFIN
2016-09-26,198.5943145751953,204.53002856456,188.2602011296448,202.41196116601523,13011981,SHRIRAMFIN
2016-10-03,203.43682861328125,214.36878808606906,196.4335544060408,200.48178480207469,15495566,SHRIRAMFIN
2016-10-10,197.62071228027344,205.64886834845538,194.70837424288777,205.37557835406787,5860292,SHRIRAMFIN
2016-10-17,196.68124389648438,200.70386155639747,189.9939520009173,196.82642877834405,16937718,SHRIRAMFIN
2016-10-24,184.44256591796875,199.84979040643208,182.5977884981158,197.88545448246055,14845222,SHRIRAMFIN
2016-10-31,176.08131408691406,187.6452785329836,173.38249396910604,184.44255792881697,12194011,SHRIRAMFIN
2016-11-07,151.233642578125,182.70458173249253,141.01480560436997,178.16954438563155,33745706,SHRIRAMFIN
2016-11-14,142.60935974121094,153.6254671965922,138.0228894948916,151.2336422622248,31081995,SHRIRAMFIN
2016-11-21,156.72882080078125,160.2951307176391,136.30829384624832,143.99813701811289,32108538,SHRIRAMFIN
2016-11-28,153.54827880859375,160.98952230557717,151.0707328807023,156.00869386256562,18540033,SHRIRAMFIN
2016-12-05,152.5538787841797,159.2664313387367,150.4535336064097,153.55690789074347,34388548,SHRIRAMFIN
2016-12-12,145.45558166503906,154.82571774346602,142.52367682914934,152.23671248544582,15874920,SHRIRAMFIN
2016-12-19,137.79139709472656,146.0813441152599,135.10809262955695,146.0813441152599,24989512,SHRIRAMFIN
2016-12-26,146.32998657226562,148.061695478361,133.40212113692118,137.36277745186848,15079131,SHRIRAMFIN
2017-01-02,159.0863800048828,161.83826219691284,146.5957414636023,146.8786426054511,22417107,SHRIRAMFIN
2017-01-09,163.7928466796875,169.21946751089004,156.40304905927684,159.79790247419527,16252884,SHRIRAMFIN
2017-01-16,156.4116668701172,167.41920997715658,155.63154059284244,164.94164985702102,11575908,SHRIRAMFIN
2017-01-23,164.8473358154297,168.0278658656526,155.1685912387171,156.45452138650123,13722836,SHRIRAMFIN
2017-01-30,165.2760009765625,170.88264519348414,160.07228149196064,165.02738841515048,17096670,SHRIRAMFIN
2017-02-06,165.39601135253906,168.01073939652247,160.89527549572654,166.31330551406774,18501453,SHRIRAMFIN
2017-02-13,161.10958862304688,166.63907685183398,158.59775321986982,165.8589505437669,12085042,SHRIRAMFIN
2017-02-20,160.07228088378906,163.61285508505458,159.12926355687503,161.555377381374,18625387,SHRIRAMFIN
2017-02-27,157.67184448242188,161.47818819432058,152.288090780696,160.05509034318197,15949566,SHRIRAMFIN
2017-03-06,164.48727416992188,166.06467085605547,157.07175235336678,157.07175235336678,19745077,SHRIRAMFIN
2017-03-13,181.16152954101562,186.88818498003454,164.48732703165112,164.48732703165112,29469474,SHRIRAMFIN
2017-03-20,176.92645263671875,182.7559845934791,175.0575628101563,182.60167246628174,14847567,SHRIRAMFIN
2017-03-27,184.8306427001953,186.03083784292454,174.2260257544896,176.42924985018644,23460359,SHRIRAMFIN
2017-04-03,186.57095336914062,191.94612914636298,185.18214387834072,186.03086078938512,11396355,SHRIRAMFIN
2017-04-10,180.17562866210938,190.31731179524755,179.36121367492706,188.60274686146604,12316549,SHRIRAMFIN
2017-04-17,180.62991333007812,188.32833496387016,178.40954525448834,181.4014739510785,11255929,SHRIRAMFIN
2017-04-24,178.0838165283203,187.74543047481077,174.16602763590615,181.4015145150565,23988837,SHRIRAMFIN
2017-05-01,171.611328125,179.42118288361203,171.19982455248018,178.08381976746617,11903568,SHRIRAMFIN
2017-05-08,169.70814514160156,175.51196851009686,168.56796168748127,172.7772305676593,11408613,SHRIRAMFIN
2017-05-15,171.29412841796875,174.5346704501419,169.7424413320291,169.7424413320291,13254658,SHRIRAMFIN
