Price,Close,High,Low,Open,Volume,symbol
Ticker,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,
Date,,,,,,
2014-12-29,133.1116943359375,133.72269617076049,131.23504298922958,131.7587531395745,2578819,TATACONSUM
2015-01-05,135.81759643554688,137.65060220598156,127.43809962576742,132.3697741810082,13340381,TATACONSUM
2015-01-12,134.6829071044922,138.5235030701433,134.20282927907417,136.47228082531583,7072193,TATACONSUM
2015-01-19,140.6619873046875,141.53485105046613,134.6828786374102,134.6828786374102,9672663,TATACONSUM
2015-01-26,138.52346801757812,141.75306107857938,134.4646570964181,140.66198144183278,10371377,TATACONSUM
2015-02-02,133.0244140625,146.42287632991267,132.2824879561575,137.8251641061037,12715227,TATACONSUM
2015-02-09,137.3887481689453,138.7416896377938,129.1838342914832,132.23885739972775,7615194,TATACONSUM
2015-02-16,139.39633178710938,141.62213691080126,134.81379731079687,137.78154191533375,6082727,TATACONSUM
2015-02-23,136.2104034423828,140.96750865585472,132.58801055372717,140.48743088520817,9066951,TATACONSUM
2015-03-02,139.0471954345703,143.9352243517167,135.29387871609697,135.73031058292307,9149244,TATACONSUM
2015-03-09,135.16293334960938,142.14584212698477,134.02820800951756,138.82895779396316,9788509,TATACONSUM
2015-03-16,130.88592529296875,138.13069756021167,130.05670733947258,135.2502443312061,7639014,TATACONSUM
2015-03-23,127.21990203857422,131.40965104735284,124.55766471808035,130.7550031809451,8252039,TATACONSUM
2015-03-30,131.8896942138672,132.63162027652248,127.91816220242978,128.39823984228994,2777921,TATACONSUM
2015-04-06,140.7056121826172,141.84033754675963,130.7549722914889,132.6316237376478,10998482,TATACONSUM
2015-04-13,137.51968383789062,142.71322038698148,136.21038823801007,141.0984171529247,9934847,TATACONSUM
2015-04-20,128.52919006347656,137.6942596435547,127.30718611367047,137.30147361103445,11060749,TATACONSUM
2015-04-27,124.0339584350586,129.31477407344113,122.55007923471288,128.8783421483619,11001701,TATACONSUM
2015-05-04,123.11742401123047,127.35080484328672,119.23318332160514,125.1686456559868,9110299,TATACONSUM
2015-05-11,128.66012573242188,129.62028129175076,121.6772149557619,123.4229426499269,11195224,TATACONSUM
2015-05-18,129.1402130126953,131.32237279093906,126.17248104182235,128.96564289420508,5998550,TATACONSUM
2015-05-25,127.65631866455078,131.19141938364547,124.81951158311632,128.74739831125635,9375546,TATACONSUM
2015-06-01,120.89161682128906,127.78723440269204,118.70945767289035,126.82709236870207,7806520,TATACONSUM
2015-06-08,111.85749053955078,121.24077638091795,109.71897689528718,121.153497992305,7842919,TATACONSUM
2015-06-15,116.74552917480469,118.88404274638742,110.67912864033133,111.5956316026859,7763243,TATACONSUM
2015-06-22,116.83280181884766,119.1022392580797,115.47986053302822,116.7455101285979,8496152,TATACONSUM
2015-06-29,118.79676818847656,120.97892768261578,111.9011361956899,115.21802129055042,11258131,TATACONSUM
2015-07-06,117.4438247680664,123.64114964142358,115.39258954870333,116.17817494538986,8642940,TATACONSUM
2015-07-13,121.32805633544922,122.20092005009273,117.1819536908925,117.74930977787346,8139277,TATACONSUM
2015-07-20,122.89920806884766,124.42671949966362,117.40016425414163,120.62975718695542,9221322,TATACONSUM
2015-07-27,122.37548828125,124.64493923258931,118.14210732046357,122.7246417531408,7868577,TATACONSUM
2015-08-03,125.9213638305664,130.66726083331295,124.41332621991039,125.4334657264645,10170480,TATACONSUM
2015-08-10,117.18360137939453,126.5423107432681,114.78846784745271,125.96571254383291,6503870,TATACONSUM
2015-08-17,115.67554473876953,120.99803937771544,112.65946985768839,117.53842327672214,6891387,TATACONSUM
2015-08-24,104.80879211425781,114.34492161954489,96.29280200526941,114.34492161954489,20571307,TATACONSUM
2015-08-31,106.62731170654297,110.88531033039087,101.17175985260953,104.49831916252126,13839442,TATACONSUM
2015-09-07,109.33293151855469,111.15145357348909,103.78866521436835,107.86924386066886,6159730,TATACONSUM
2015-09-14,111.28450012207031,112.61512391038316,107.91359058575264,110.08694006616926,3709073,TATACONSUM
2015-09-21,110.17564392089844,112.6594776309464,108.44583575104879,109.1555044590346,3974913,TATACONSUM
2015-09-28,115.36508178710938,116.3852212473891,109.19985435377555,110.88531245669783,4397347,TATACONSUM
2015-10-05,119.49003601074219,120.0666478825359,114.96592239903222,116.60701725919662,4913830,TATACONSUM
2015-10-12,118.86905670166016,120.64322172705808,116.82876421529157,119.75613921435912,3973451,TATACONSUM
2015-10-19,122.23995971679688,125.87698950343894,118.20373201403498,118.51421627417184,3877743,TATACONSUM
2015-10-26,118.38114166259766,124.36894776597622,116.20779252482826,122.77219676458134,5067907,TATACONSUM
2015-11-02,111.63932800292969,119.7561339938726,110.66353863507857,118.86905151984391,3449398,TATACONSUM
2015-11-09,113.54656219482422,115.32072722911835,109.1111496090889,110.79660774524882,2471437,TATACONSUM
2015-11-16,118.6916275024414,120.64320606994158,112.21592329299715,113.3691331170028,4294153,TATACONSUM
2015-11-23,121.48594665527344,122.77221358356724,116.42957907133638,119.5787246790935,4512296,TATACONSUM
2015-11-30,118.55858612060547,123.39319720263907,117.76021718115751,122.41740091148579,3775306,TATACONSUM
2015-12-07,118.15937042236328,122.86090974804097,115.67553704881631,118.9577526866121,4441892,TATACONSUM
2015-12-14,125.87700653076172,127.73988527196668,116.7844105305002,117.00618116465292,5410357,TATACONSUM
2015-12-21,128.4495391845703,129.91321978673864,124.45766823050717,125.56652127330248,3640612,TATACONSUM
2015-12-28,129.86886596679688,131.99787197977307,125.25603990905456,128.5382422846133,6033124,TATACONSUM
2016-01-04,128.1390838623047,132.8849813717928,123.3044862108396,129.42535097532834,5606485,TATACONSUM
2016-01-11,113.99010467529297,127.7398838384606,113.103022148637,127.03021510997479,7650798,TATACONSUM
2016-01-18,111.37319946289062,114.4336310751825,106.00634816654502,113.54654866374698,7161590,TATACONSUM
2016-01-25,112.2159423828125,113.05866809670809,108.75631909015709,111.63933737271947,3803031,TATACONSUM
2016-02-01,108.66759490966797,113.81267557989862,106.80472320765399,112.48205196875983,4122375,TATACONSUM
2016-02-08,92.52271270751953,111.86110824416822,88.7082550339007,109.1555105263759,11603311,TATACONSUM
2016-02-15,95.1839599609375,96.60329068197058,89.68404411106805,93.23237429760212,6470649,TATACONSUM
2016-02-22,92.92188262939453,97.44600157567015,90.92594720298749,95.1839454864832,14693876,TATACONSUM
2016-02-29,100.46208953857422,101.0386944965703,90.12757742892855,93.14365917483703,6979580,TATACONSUM
2016-03-07,102.76850891113281,104.76444458740045,100.32903197347238,100.46209570547073,5580992,TATACONSUM
2016-03-14,105.47411346435547,106.13942535740073,101.03870084405375,102.945929624364,7115634,TATACONSUM
2016-03-21,105.96200561523438,109.37727877372743,105.25234365121314,105.74023498249599,3539587,TATACONSUM
2016-03-28,108.71195983886719,110.88530919186691,105.03056622011677,106.44989682419224,10052850,TATACONSUM
2016-04-04,104.40961456298828,109.51033928094375,102.01449435910946,108.97809109873766,5617582,TATACONSUM
