Price,Close,High,Low,Open,Volume,symbol
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,
Date,,,,,,
2014-12-29,365.5888671875,371.0326003958994,360.8136728452104,364.15630888481314,893734,TITAN
2015-01-05,356.13397216796875,372.0831322105795,352.170566871593,366.73490895916393,3126584,TITAN
2015-01-12,369.79107666015625,376.28532957328196,352.40935688462196,356.46827224169414,3498648,TITAN
2015-01-19,380.9173278808594,390.8019877985492,371.70120695102435,371.70120695102435,4897297,TITAN
2015-01-26,411.2397766113281,424.03729267838236,375.56906609408526,380.9172900290339,12048356,TITAN
2015-02-02,397.9646911621094,428.23940451301735,390.70639024247066,410.66669591237303,6900581,TITAN
2015-02-09,407.5150451660156,414.39130665988307,390.70635738300143,390.70635738300143,5085618,TITAN
2015-02-16,415.7762145996094,422.79575674307983,396.29342576023436,412.95883802612553,4487426,TITAN
2015-02-23,415.7762145996094,417.1132633065857,397.3917147286265,415.72844516460697,4094394,TITAN
2015-03-02,387.5069885253906,405.60498522992805,382.30201546864805,401.78483007502587,3458349,TITAN
2015-03-09,380.82171630859375,390.324363897241,377.4313402730002,385.83566994024295,2494909,TITAN
2015-03-16,375.04376220703125,396.05461657951537,373.2291651039389,381.82451461995515,2755524,TITAN
2015-03-23,375.1870422363281,378.7684381546866,367.68998095146947,376.7628506113109,3632411,TITAN
2015-03-30,372.84716796875,380.05772890422486,369.74329164999233,377.2403525874709,1311781,TITAN
2015-04-06,382.5408020019531,392.90297941565024,373.42019258798064,377.24034801087555,3802026,TITAN
2015-04-13,377.28814697265625,403.59948902716167,375.56908842318865,382.9706407061631,3834862,TITAN
2015-04-20,378.0998840332031,387.2682630441065,371.27136191959653,378.19539374960834,3591399,TITAN
2015-04-27,365.5888671875,380.77400851235944,362.86702972877356,380.77400851235944,4694635,TITAN
2015-05-04,337.70172119140625,376.5240420859489,319.31722452646136,367.4989138831513,10196567,TITAN
2015-05-11,351.40655517578125,354.70142170843434,330.63446026748494,336.1736739181749,4167485,TITAN
2015-05-18,353.7941589355469,366.54390445748044,348.6369257519859,351.2155423437664,2775672,TITAN
2015-05-25,361.29119873046875,368.4539903717982,348.2549237723439,350.54701126847453,2652904,TITAN
2015-06-01,347.3953857421875,362.53275752046056,338.3225165612919,358.2350826452995,1808027,TITAN
2015-06-08,332.3057556152344,351.454271522325,329.5838892594048,348.1116357877376,1808092,TITAN
2015-06-15,342.0949401855469,344.9600568398798,322.3256236124598,329.48841524829226,2725921,TITAN
2015-06-22,343.957275390625,352.313866285176,333.2608565328853,341.2831779625591,5467671,TITAN
2015-06-29,341.2353515625,353.60311567998855,333.78606058111006,338.70450457173746,3973312,TITAN
2015-07-06,339.80279541015625,348.06390439584527,335.4573805024062,336.22139988877825,3141412,TITAN
2015-07-13,333.26080322265625,347.2998561924523,331.4939756013446,340.47133455432794,2318344,TITAN
2015-07-20,326.9532775878906,337.72031862456885,320.464202068596,335.5092379605644,3476012,TITAN
2015-07-27,311.1391906738281,331.90424101937856,307.9667650581916,326.3765092717713,7145889,TITAN
2015-08-03,321.089111328125,322.1946518019422,302.3428907565728,310.51432023648016,8123686,TITAN
2015-08-10,322.0984802246094,325.51127098496374,308.20706905905445,321.5216969640717,4441133,TITAN
2015-08-17,330.9909362792969,332.43295318903165,317.3879159650471,323.10792810882543,2508305,TITAN
2015-08-24,328.3952941894531,339.4507561792117,307.6302466715427,321.56974222384696,6711636,TITAN
2015-08-31,320.0797119140625,331.6639031738097,306.0440742020235,328.68372890089773,3100676,TITAN
2015-09-07,313.8309326171875,324.64605854741507,303.8329260646962,320.1277275347351,3351620,TITAN
2015-09-14,309.456787109375,318.4453640062651,307.2937619953702,317.147543070281,1735837,TITAN
2015-09-21,312.29278564453125,314.26353025396645,299.17043829076334,307.6302586689977,3216397,TITAN
2015-09-28,314.5999755859375,316.9552812559674,291.0470362372577,312.38889505571314,3614142,TITAN
2015-10-05,329.9334716796875,336.42254759642856,313.2060525128727,319.0702603200278,3338946,TITAN
2015-10-12,340.2679138183594,342.046377758272,327.5300985828675,327.5300985828675,3151777,TITAN
2015-10-19,330.4141540527344,344.11331473945353,329.45280944314004,332.62523491963765,1710624,TITAN
2015-10-26,336.4225769042969,342.7193727183762,325.17483260025455,331.08709641631333,3482730,TITAN
2015-11-02,336.5186462402344,350.4100866505708,316.6188317615883,322.0504225732269,7857991,TITAN
2015-11-09,340.9408264160156,347.0453699545425,327.337807394797,327.337807394797,1629126,TITAN
